MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
Paraíba do Sul ;Tomate Cereja;Olerícolas Frutas;2019;9;77.03;0.87;6.2794;88.54;483.698.50
Rio das Ostras ;Tomate Cereja;Olerícolas Frutas;2019;1;0.52;0.01;6.3;52;3.276.00
Teresópolis ;Tomate Cereja;Olerícolas Frutas;2019;53;897;9.25;3.2045;96.97;2.874.400.00
Vassouras ;Tomate Cereja;Olerícolas Frutas;2019;10;167.5;2.13;6.6284;78.64;1.110.250.00
Macaé ;Tomate*;Olerícolas Frutas;2019;1;0.08;0.03;7.5;2.67;600
Paty do Alferes ;Tomate*;Olerícolas Frutas;2019;31;70.67;3.11;5.5838;22.72;394.610.00
Rio das Ostras ;Tomate*;Olerícolas Frutas;2019;1;0.71;0.01;10;71;7.100.00
Vassouras ;Tomate*;Olerícolas Frutas;2019;3;16.4;0.6;3;27.33;49.200.00
Bom Jardim ;Vagem;Olerícolas Frutas;2019;231;1.782.00;99;1.1493;18;2.048.040.00
Cachoeiras de Macacu ;Vagem;Olerícolas Frutas;2019;11;110;9;1.5345;12.22;168.800.00
Carmo ;Vagem;Olerícolas Frutas;2019;3;18.83;1.15;1.9595;16.37;36.897.90
Duas Barras ;Vagem;Olerícolas Frutas;2019;60;439.8;26.6;2.2973;16.53;1.010.340.00
Duque de Caxias ;Vagem;Olerícolas Frutas;2019;2;50.7;5.75;2.4843;8.82;125.955.00
Itaocara ;Vagem;Olerícolas Frutas;2019;3;30;2.5;1.8333;12;55.000.00
Magé ;Vagem;Olerícolas Frutas;2019;8;51;4.25;2.7647;12;141.000.00
Nova Friburgo ;Vagem;Olerícolas Frutas;2019;67;681.3;35;2.5709;19.47;1.751.560.00
Petrópolis ;Vagem;Olerícolas Frutas;2019;39;414;20.6;2.9957;20.1;1.240.200.00
Rio Claro ;Vagem;Olerícolas Frutas;2019;2;83.02;4.6;1.952;18.05;162.058.00
Rio de Janeiro ;Vagem;Olerícolas Frutas;2019;44;412.92;22.5;2.1239;18.35;876.996.00
São Fidélis ;Vagem;Olerícolas Frutas;2019;20;63.73;5.1;1.9488;12.5;124.195.50
São José do Vale do Rio Preto ;Vagem;Olerícolas Frutas;2019;411;3.972.00;219;1.4302;18.14;5.680.620.00
Sapucaia ;Vagem;Olerícolas Frutas;2019;37;592;37;1.4432;16;854.400.00
Sumidouro ;Vagem;Olerícolas Frutas;2019;148;2.603.00;137;1.601;19;4.167.460.00
Teresópolis ;Vagem;Olerícolas Frutas;2019;34;51.6;3.3;2.2449;15.64;115.836.00
Trajano de Morais ;Vagem;Olerícolas Frutas;2019;32;174.6;9.85;2.8266;17.73;493.530.00
Teresópolis ;Vagem Francesa;Olerícolas Frutas;2019;40;395.9;11.7;6.1388;33.84;2.430.360.00
Angra dos Reis ;Aipim;Olerícolas Raízes;2019;30;194;23.5;4.4858;8.26;870.250.00
Aperibé ;Aipim;Olerícolas Raízes;2019;10;96;8;1.3;12;124.800.00
Araruama ;Aipim;Olerícolas Raízes;2019;82;1.411.50;102.5;1.2887;13.77;1.819.000.00
Areal ;Aipim;Olerícolas Raízes;2019;5;88.64;7;1.4609;12.66;129.493.10
Armação dos Búzios ;Aipim;Olerícolas Raízes;2019;17;24.5;2.67;1.7531;9.18;42.950.00
Barra do Pirai ;Aipim;Olerícolas Raízes;2019;9;63.1;4.78;3.0081;13.2;189.813.50
Bom Jardim ;Aipim;Olerícolas Raízes;2019;225;2.034.00;113;0.9725;18;1.978.020.00
Bom Jesus do Itabapoana ;Aipim;Olerícolas Raízes;2019;12;63;3.5;1.4111;18;88.900.00
Cabo Frio ;Aipim;Olerícolas Raízes;2019;28;134;12.7;1.7799;10.55;238.500.00
Cachoeiras de Macacu ;Aipim;Olerícolas Raízes;2019;361;11.970.00;958;0.7698;12.49;9.214.500.00
Campos dos Goytacases ;Aipim;Olerícolas Raízes;2019;264;2.415.00;259;0.5784;9.32;1.396.750.00
Carapebus ;Aipim;Olerícolas Raízes;2019;10;64;10;1.0477;6.4;67.050.00
Cardoso Moreira ;Aipim;Olerícolas Raízes;2019;8;105.4;9.9;0.8995;10.65;94.810.00
Carmo ;Aipim;Olerícolas Raízes;2019;6;166.4;13.6;0.9214;12.24;153.320.00
Casimiro de Abreu ;Aipim;Olerícolas Raízes;2019;101;2.273.00;124;1.0832;18.33;2.462.100.00
Comendador Levy Gasparian ;Aipim;Olerícolas Raízes;2019;3;77.43;6;1.4364;12.91;111.219.80
Conceição de Macabu ;Aipim;Olerícolas Raízes;2019;28;102;10.7;1.8855;9.53;192.320.00
Cordeiro ;Aipim;Olerícolas Raízes;2019;10;260;17;1.5808;15.29;411.000.00
Duas Barras ;Aipim;Olerícolas Raízes;2019;55;683;40.7;1.0592;16.78;723.450.00
Duque de Caxias ;Aipim;Olerícolas Raízes;2019;20;4.990.00;299;2.0505;16.69;10.232.000.00
Guapimirim ;Aipim;Olerícolas Raízes;2019;63;3.524.00;281;1.404;12.54;4.947.750.00
Iguaba Grande ;Aipim;Olerícolas Raízes;2019;21;238;23.2;1.2118;10.26;288.400.00
Itaboraí ;Aipim;Olerícolas Raízes;2019;42;329.9;28.1;0.9324;11.74;307.585.00
Itaguaí ;Aipim;Olerícolas Raízes;2019;12;460;35;1.5307;13.14;704.100.00
Italva ;Aipim;Olerícolas Raízes;2019;35;284;32.1;0.9956;8.85;282.740.00
Itaocara ;Aipim;Olerícolas Raízes;2019;17;132;13;1.1031;10.15;145.610.00
Itaperuna ;Aipim;Olerícolas Raízes;2019;30;147.9;19.2;1.0241;7.7;151.460.00
Japeri ;Aipim;Olerícolas Raízes;2019;253;4.614.00;355.1;1.71;12.99;7.889.870.00
Laje do Muriae ;Aipim;Olerícolas Raízes;2019;2;25.5;1.6;1.8784;15.94;47.900.00
Macaé ;Aipim;Olerícolas Raízes;2019;30;38;4.7;1.1276;8.09;42.850.00
Magé ;Aipim;Olerícolas Raízes;2019;154;4.494.00;284;1.769;15.82;7.949.850.00
Mangaratiba ;Aipim;Olerícolas Raízes;2019;44;349;33;1.5521;10.58;541.700.00
Maricá ;Aipim;Olerícolas Raízes;2019;20;44.93;3.75;0.7766;11.98;34.894.00
Mendes ;Aipim;Olerícolas Raízes;2019;9;74.25;5.25;2.943;14.14;218.516.00
Natividade ;Aipim;Olerícolas Raízes;2019;10;98.47;7.49;1.4045;13.15;138.300.00
Niterói ;Aipim;Olerícolas Raízes;2019;7;57.4;4;1.5844;14.35;90.944.00
Nova Friburgo ;Aipim;Olerícolas Raízes;2019;72;584.2;36.55;1.3356;15.98;780.270.00
Nova Iguaçu ;Aipim;Olerícolas Raízes;2019;256;2.319.00;184;1.6558;12.6;3.839.840.00
Paracambi ;Aipim;Olerícolas Raízes;2019;20;106.5;10;2.0798;10.65;221.500.00
Paraíba do Sul ;Aipim;Olerícolas Raízes;2019;12;37.73;2.86;1.4478;13.19;54.627.30
Paraty ;Aipim;Olerícolas Raízes;2019;25;459.6;40;4.4977;11.49;2.067.150.00
Paty do Alferes ;Aipim;Olerícolas Raízes;2019;17;101.77;8.2;1.1923;12.41;121.341.90
Petrópolis ;Aipim;Olerícolas Raízes;2019;19;193;11.2;1.2702;17.23;245.150.00
Pinheiral ;Aipim;Olerícolas Raízes;2019;6;108.45;6.45;1.4314;16.81;155.230.00
Piraí ;Aipim;Olerícolas Raízes;2019;5;268.32;17.61;1.3974;15.24;374.952.50
Porto Real ;Aipim;Olerícolas Raízes;2019;4;74;10.5;2.2399;7.05;165.750.00
Quatis ;Aipim;Olerícolas Raízes;2019;3;32;5.5;2.2016;5.82;70.450.00
Queimados ;Aipim;Olerícolas Raízes;2019;104;1.268.00;90.6;1.5204;14;1.927.920.00
Quissamã ;Aipim;Olerícolas Raízes;2019;50;3.465.00;318;2.3552;10.9;8.160.750.00
Rio Bonito ;Aipim;Olerícolas Raízes;2019;149;4.452.00;310;0.8698;14.36;3.872.400.00
Rio das Ostras ;Aipim;Olerícolas Raízes;2019;7;217.6;21.9;1.4929;9.94;324.850.00
Rio de Janeiro ;Aipim;Olerícolas Raízes;2019;148;18.600.00;1.315.00;1.0559;14.14;19.639.000.00
Santa Maria Madalena ;Aipim;Olerícolas Raízes;2019;9;179.7;11.97;1.4393;15.01;258.634.80
São Francisco de Itabapoana ;Aipim;Olerícolas Raízes;2019;525;41.980.00;3.020.00;0.5124;13.9;21.509.200.00
São Gonçalo ;Aipim;Olerícolas Raízes;2019;52;755.4;49;1.5201;15.42;1.148.312.00
São João da Barra ;Aipim;Olerícolas Raízes;2019;54;748.5;52;0.7018;14.39;525.300.00
São José do Vale do Rio Preto ;Aipim;Olerícolas Raízes;2019;46;216;12;0.6204;18;134.010.00
São Pedro da Aldeia ;Aipim;Olerícolas Raízes;2019;49;708;68.4;1.2386;10.35;876.900.00
Saquarema ;Aipim;Olerícolas Raízes;2019;58;604;57;1.4272;10.6;862.000.00
Seropédica ;Aipim;Olerícolas Raízes;2019;90;1.542.00;109;1.585;14.15;2.444.080.00
Silva Jardim ;Aipim;Olerícolas Raízes;2019;188;8.070.00;800;0.6404;10.09;5.168.000.00
Sumidouro ;Aipim;Olerícolas Raízes;2019;114;3.344.00;209;0.9871;16;3.300.960.00
Tanguá ;Aipim;Olerícolas Raízes;2019;79;3.335.00;227.7;1.137;14.65;3.792.000.00
Trajano de Morais ;Aipim;Olerícolas Raízes;2019;67;1.310.00;69.1;1.3024;18.96;1.706.100.00
Três Rios ;Aipim;Olerícolas Raízes;2019;3;69.67;5.5;1.4871;12.67;103.609.10
Valença ;Aipim;Olerícolas Raízes;2019;17;640.25;49.4;2.3307;12.96;1.492.214.00
Varre-Sai ;Aipim;Olerícolas Raízes;2019;4;93.6;6.51;1.1994;14.38;112.260.00
Nova Friburgo ;Batata;Olerícolas Raízes;2019;19;170.7;9.5;1.4139;17.97;241.357.00
Petrópolis ;Batata;Olerícolas Raízes;2019;5;31;1.1;1.2645;28.18;39.200.00
Trajano de Morais ;Batata;Olerícolas Raízes;2019;20;240;11.6;1.035;20.69;248.400.00
Bom Jardim ;Batata Doce;Olerícolas Raízes;2019;403;3.570.00;255;0.9489;14;3.387.720.00
Cachoeiras de Macacu ;Batata Doce;Olerícolas Raízes;2019;90;1.338.00;116.5;0.9007;11.48;1.205.200.00
Campos dos Goytacases ;Batata Doce;Olerícolas Raízes;2019;28;84;8;0.8315;10.5;69.850.00
Casimiro de Abreu ;Batata Doce;Olerícolas Raízes;2019;4;8.54;0.7;1.9157;12.2;16.360.00
Conceição de Macabu ;Batata Doce;Olerícolas Raízes;2019;3;11.2;1;2;11.2;22.400.00
Duas Barras ;Batata Doce;Olerícolas Raízes;2019;15;132;10.5;0.9511;12.57;125.550.00
Duque de Caxias ;Batata Doce;Olerícolas Raízes;2019;8;613;56;2.5715;10.95;1.576.300.00
Guapimirim ;Batata Doce;Olerícolas Raízes;2019;5;196;20.2;1.4857;9.7;291.200.00
Iguaba Grande ;Batata Doce;Olerícolas Raízes;2019;8;33.6;7.55;3.214;4.45;107.990.00
Macaé ;Batata Doce;Olerícolas Raízes;2019;1;0.66;0.26;4.1818;2.54;2.760.00
Magé ;Batata Doce;Olerícolas Raízes;2019;54;966;80.5;1.5957;12;1.541.400.00
Nova Friburgo ;Batata Doce;Olerícolas Raízes;2019;21;216.31;15.6;1.2965;13.87;280.443.00
Queimados ;Batata Doce;Olerícolas Raízes;2019;4;17.57;1.34;1.6106;13.11;28.298.20
Rio de Janeiro ;Batata Doce;Olerícolas Raízes;2019;29;172;14.4;0.6676;11.94;114.820.00
São João da Barra ;Batata Doce;Olerícolas Raízes;2019;30;424.5;30.25;0.8186;14.03;347.505.00
São Pedro da Aldeia ;Batata Doce;Olerícolas Raízes;2019;9;64.9;12;3.0285;5.41;196.550.00
Trajano de Morais ;Batata Doce;Olerícolas Raízes;2019;74;676;48.8;1.2075;13.85;816.300.00
Barra Mansas ;Beterraba;Olerícolas Raízes;2019;1;154.65;6.21;2.0488;24.9;316.850.50
Nova Friburgo ;Beterraba;Olerícolas Raízes;2019;29;344.63;13.95;1.5493;24.7;533.922.50
Petrópolis ;Beterraba;Olerícolas Raízes;2019;52;294;9.9;1.2696;29.7;373.260.00
Rio Claro ;Beterraba;Olerícolas Raízes;2019;2;129.56;6.3;0.6273;20.57;81.269.00
Sumidouro ;Beterraba;Olerícolas Raízes;2019;42;771;48;0.9113;16.06;702.607.50
Teresópolis ;Beterraba;Olerícolas Raízes;2019;64;632.6;25.4;1.2307;24.91;778.530.00
Magé ;Cará;Olerícolas Raízes;2019;11;208;13;1.8192;16;378.400.00
Duque de Caxias ;Cenoura;Olerícolas Raízes;2019;2;15.7;0.83;2.0779;18.92;32.622.50
Nova Friburgo ;Cenoura;Olerícolas Raízes;2019;19;345.03;13.75;1.7768;25.09;613.037.50
Petrópolis ;Cenoura;Olerícolas Raízes;2019;74;162;7.05;1.5765;22.98;255.400.00
São José do Vale do Rio Preto ;Cenoura;Olerícolas Raízes;2019;79;525;21;1.4086;25;739.500.00
Sapucaia ;Cenoura;Olerícolas Raízes;2019;38;836;38;0.8684;22;726.000.00
Teresópolis ;Cenoura;Olerícolas Raízes;2019;22;375.69;13.6;1.4225;27.62;534.408.00
Bom Jardim ;Inhame;Olerícolas Raízes;2019;326;5.681.00;247;1.1065;23;6.285.900.00
Cachoeiras de Macacu ;Inhame;Olerícolas Raízes;2019;55;566;49.5;1.6106;11.43;911.600.00
Casimiro de Abreu ;Inhame;Olerícolas Raízes;2019;47;958;59;1.9965;16.24;1.912.600.00
Conceição de Macabu ;Inhame;Olerícolas Raízes;2019;1;5.3;0.3;2;17.67;10.600.00
Duas Barras ;Inhame;Olerícolas Raízes;2019;33;346;17.4;2.222;19.89;768.800.00
Duque de Caxias ;Inhame;Olerícolas Raízes;2019;4;487;48;2.5795;10.15;1.256.200.00
Guapimirim ;Inhame;Olerícolas Raízes;2019;5;149.5;12.1;2.096;12.36;313.350.00
Italva ;Inhame;Olerícolas Raízes;2019;2;36;3;1.5386;12;55.390.00
Macaé ;Inhame;Olerícolas Raízes;2019;1;0.4;0.3;3.5;1.33;1.400.00
Magé ;Inhame;Olerícolas Raízes;2019;22;415;23.5;2.1951;17.66;910.950.00
Natividade ;Inhame;Olerícolas Raízes;2019;1;7;0.6;2;11.67;14.000.00
Nova Friburgo ;Inhame;Olerícolas Raízes;2019;105;1.129.20;74.3;1.9056;15.2;2.151.750.00
Rio Claro ;Inhame;Olerícolas Raízes;2019;2;13.02;0.9;2.1466;14.47;27.949.00
Silva Jardim ;Inhame;Olerícolas Raízes;2019;4;65;5;1.1415;13;74.200.00
Sumidouro ;Inhame;Olerícolas Raízes;2019;20;440;27.5;1.3336;16;586.800.00
Trajano de Morais ;Inhame;Olerícolas Raízes;2019;50;1.024.50;57.8;2.3791;17.72;2.437.350.00
Nova Friburgo ;Nabo;Olerícolas Raízes;2019;18;225.3;9.1;2.2574;24.76;508.600.00
Miracema ;Cana Cachaça;Outras Culturas;2019;2;566.4;10.1;0.15;56.08;84.960.00
Paraíba do Sul ;Cana Cachaça;Outras Culturas;2019;7;1.155.00;16.45;0.4575;70.21;528.360.00
Paraty ;Cana Cachaça;Outras Culturas;2019;6;617.5;13.67;0.5;45.17;308.750.00
Porto Real ;Cana Cachaça;Outras Culturas;2019;3;120;3.2;0.305;37.5;36.600.00
Quatis ;Cana Cachaça;Outras Culturas;2019;6;1.175.00;23.15;0.2931;50.76;344.350.00
Resende ;Cana Cachaça;Outras Culturas;2019;4;639.5;11;0.2255;58.14;144.215.00
Rio das Flores ;Cana Cachaça;Outras Culturas;2019;4;295;4;0.12;73.75;35.400.00
Valença ;Cana Cachaça;Outras Culturas;2019;18;7.673.90;130;0.4098;59.03;3.144.669.80
Angra dos Reis ;Cana Caldo;Outras Culturas;2019;14;590;14.5;0.2398;40.69;141.500.00
Cabo Frio ;Cana Caldo;Outras Culturas;2019;6;206;5.2;0.3766;39.62;77.570.00
Campos dos Goytacases ;Cana Caldo;Outras Culturas;2019;79;1.950.00;53;0.3727;36.79;726.740.00
Duque de Caxias ;Cana Caldo;Outras Culturas;2019;10;1.568.00;51.2;1.5361;30.63;2.408.650.00
Itaguaí ;Cana Caldo;Outras Culturas;2019;15;365;30;1.5;12.17;547.500.00
Mangaratiba ;Cana Caldo;Outras Culturas;2019;20;375;11;1.1533;34.09;432.500.00
Niterói ;Cana Caldo;Outras Culturas;2019;5;168;4.2;1.1126;40;186.920.00
Paraíba do Sul ;Cana Caldo;Outras Culturas;2019;4;92.45;2.26;0.437;40.91;40.400.00
Queimados ;Cana Caldo;Outras Culturas;2019;6;292;7.32;0.3326;39.89;97.110.00
São Gonçalo ;Cana Caldo;Outras Culturas;2019;28;2.520.00;56;0.9864;45;2.485.800.00
São João da Barra ;Cana Caldo;Outras Culturas;2019;24;935;18.5;0.239;50.54;223.500.00
Seropédica ;Cana Caldo;Outras Culturas;2019;28;2.271.00;102;0.6143;22.26;1.395.100.00
Barra do Pirai ;Cana Forrageira;Outras Culturas;2019;51;5.192.00;83.5;0.1534;62.18;796.500.00
Cabo Frio ;Cana Forrageira;Outras Culturas;2019;5;1.445.00;19;0.2213;76.05;319.750.00
Carapebus ;Cana Forrageira;Outras Culturas;2019;27;595;32;0.0772;18.59;45.950.00
Cardoso Moreira ;Cana Forrageira;Outras Culturas;2019;120;513.1;19.9;0.0588;25.78;30.186.00
Carmo ;Cana Forrageira;Outras Culturas;2019;336;11.160.00;168;0.08;66.43;892.800.00
Duas Barras ;Cana Forrageira;Outras Culturas;2019;135;4.887.00;81.7;0.1043;59.82;509.940.00
Duque de Caxias ;Cana Forrageira;Outras Culturas;2019;5;2.040.00;60.5;0.151;33.72;308.000.00
Itaocara ;Cana Forrageira;Outras Culturas;2019;215;5.155.00;145;0.1152;35.55;594.100.00
Macuco ;Cana Forrageira;Outras Culturas;2019;22;320;6;0.105;53.33;33.600.00
Miracema ;Cana Forrageira;Outras Culturas;2019;320;16.827.10;293;0.09;57.43;1.514.439.00
Natividade ;Cana Forrageira;Outras Culturas;2019;200;12.110.00;200;0.05;60.55;605.500.00
Paraíba do Sul ;Cana Forrageira;Outras Culturas;2019;12;707.2;8.16;0.4552;86.67;321.912.00
Porciúncula ;Cana Forrageira;Outras Culturas;2019;230;42.800.00;665;0.1129;64.36;4.830.000.00
Porto Real ;Cana Forrageira;Outras Culturas;2019;9;310;9.5;0.2898;32.63;89.850.00
Quatis ;Cana Forrageira;Outras Culturas;2019;17;1.640.00;36;0.228;45.56;374.000.00
Resende ;Cana Forrageira;Outras Culturas;2019;132;3.773.10;71;0.26;53.14;981.006.00
Rio Claro ;Cana Forrageira;Outras Culturas;2019;60;1.003.26;22;0.55;45.6;551.793.00
Rio das Flores ;Cana Forrageira;Outras Culturas;2019;27;920;13.2;0.1;69.7;92.000.00
Santa Maria Madalena ;Cana Forrageira;Outras Culturas;2019;35;1.926.00;25.68;0.1432;75;275.842.50
São João da Barra ;Cana Forrageira;Outras Culturas;2019;49;1.685.00;33.5;0.1215;50.3;204.700.00
Valença ;Cana Forrageira;Outras Culturas;2019;22;2.946.50;48.8;0.2219;60.38;653.819.30
Miguel Pereira ;Louro;Outras Culturas;2019;15;16.1;3.95;5;4.08;80.500.00
Paty do Alferes ;Louro;Outras Culturas;2019;21;156.87;40.11;4.9177;3.91;771.438.10
Cambuci ;Mandioca;Outras Culturas;2019;56;1.035.00;79.5;1.5017;13.02;1.554.300.00
Campos dos Goytacases ;Mandioca;Outras Culturas;2019;153;913;62;0.2221;14.73;202.760.00
Macuco ;Mandioca;Outras Culturas;2019;4;38.75;1.75;1.0581;22.14;41.000.00
Miracema ;Mandioca;Outras Culturas;2019;5;204.36;11.7;1.1445;17.47;233.880.00
Porciúncula ;Mandioca;Outras Culturas;2019;13;173.5;8.2;0.2862;21.16;49.650.00
Rio Claro ;Mandioca;Outras Culturas;2019;3;225.31;18.7;1.9485;12.05;439.023.50
São Francisco de Itabapoana ;Mandioca;Outras Culturas;2019;418;73.200.00;3.750.00;0.101;19.52;7.396.000.00
Cardoso Moreira ;Milho Forrageiro;Outras Culturas;2019;12;290.72;21.35;0.3512;13.62;102.102.00
Carmo ;Milho Forrageiro;Outras Culturas;2019;2;13.072.00;302.48;0.25;43.22;3.268.000.00
Cordeiro ;Milho Forrageiro;Outras Culturas;2019;8;2.350.00;53;0.3319;44.34;780.000.00
Duas Barras ;Milho Forrageiro;Outras Culturas;2019;85;6.456.00;158.5;0.1954;40.73;1.261.350.00
Italva ;Milho Forrageiro;Outras Culturas;2019;41;2.050.20;56;0.1779;36.61;364.730.00
Itaperuna ;Milho Forrageiro;Outras Culturas;2019;65;150;60;0.65;2.5;97.500.00
Macaé ;Milho Forrageiro;Outras Culturas;2019;1;880;20;0.05;44;44.000.00
Macuco ;Milho Forrageiro;Outras Culturas;2019;15;1.132.00;30;0.249;37.73;281.850.00
Natividade ;Milho Forrageiro;Outras Culturas;2019;8;760;42;0.18;18.1;136.800.00
Paraíba do Sul ;Milho Forrageiro;Outras Culturas;2019;10;2.260.00;53.11;0.5237;42.55;1.183.520.00
Porciúncula ;Milho Forrageiro;Outras Culturas;2019;27;4.870.00;144;0.3349;33.82;1.631.000.00
Porto Real ;Milho Forrageiro;Outras Culturas;2019;7;225;9;0.2667;25;60.000.00
Quatis ;Milho Forrageiro;Outras Culturas;2019;6;160;8;0.3531;20;56.500.00
Resende ;Milho Forrageiro;Outras Culturas;2019;10;2.657.00;58;0.1762;45.81;468.150.00
Rio das Flores ;Milho Forrageiro;Outras Culturas;2019;17;2.881.00;64.5;0.1731;44.67;498.780.00
Angra dos Reis ;Palmito;Outras Culturas;2019;109;495.5;98;20;5.06;9.910.000.00
Cachoeiras de Macacu ;Palmito;Outras Culturas;2019;15;69;55.5;5.1522;1.24;355.500.00
Guapimirim ;Palmito;Outras Culturas;2019;12;33.6;19.3;8.8006;1.74;295.700.00
Magé ;Palmito;Outras Culturas;2019;22;89.1;28.5;13.0017;3.13;1.158.450.00
Mangaratiba ;Palmito;Outras Culturas;2019;20;50;25;15.96;2;798.000.00
Paraty ;Palmito;Outras Culturas;2019;100;758;130;20.3478;5.83;15.423.600.00
Rio Claro ;Palmito;Outras Culturas;2019;1;8.3;2.8;5.6988;2.96;47.300.00
Saquarema ;Palmito;Outras Culturas;2019;4;18.9;4;26.5873;4.73;502.500.00
Silva Jardim ;Palmito;Outras Culturas;2019;10;489;125;7.8487;3.91;3.838.000.00
Valença ;Palmito;Outras Culturas;2019;6;37.55;8.5;17.7606;4.42;666.910.00
Vassouras ;Palmito;Outras Culturas;2019;2;69.5;12.3;12.0899;5.65;840.250.00
