MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
Conceição de Macabu ;Abobora;Olerícolas Frutas;2019;3;11.4;0.88;2.1421;12.95;24.420.00
Cordeiro ;Abobora;Olerícolas Frutas;2019;5;295;15;0.978;19.67;288.500.00
Duas Barras ;Abobora;Olerícolas Frutas;2019;36;377.5;25.8;1.395;14.63;526.600.00
Guapimirim ;Abobora;Olerícolas Frutas;2019;4;36;2.8;1.8611;12.86;67.000.00
Iguaba Grande ;Abobora;Olerícolas Frutas;2019;15;37.6;10.6;1.2074;3.55;45.400.00
Itaboraí ;Abobora;Olerícolas Frutas;2019;3;107.8;5.5;1.3377;19.6;144.200.00
Itaocara ;Abobora;Olerícolas Frutas;2019;13;167;8.5;1.4872;19.65;248.360.00
Itaperuna ;Abobora;Olerícolas Frutas;2019;15;636;53;0.9283;12;590.400.00
Laje do Muriae ;Abobora;Olerícolas Frutas;2019;1;7;0.5;1.2;14;8.400.00
Macaé ;Abobora;Olerícolas Frutas;2019;1;0.24;0.22;4;1.09;960
Miracema ;Abobora;Olerícolas Frutas;2019;4;18.6;1.35;1.9387;13.78;36.060.00
Paraíba do Sul ;Abobora;Olerícolas Frutas;2019;16;524.4;21.91;1.8608;23.93;975.786.00
Paty do Alferes ;Abobora;Olerícolas Frutas;2019;12;779;39.1;1.6305;19.92;1.270.180.00
Petrópolis ;Abobora;Olerícolas Frutas;2019;14;286;14.35;1.608;19.93;459.900.00
Porciúncula ;Abobora;Olerícolas Frutas;2019;8;15.3;1;0.3755;15.3;5.745.00
Rio Bonito ;Abobora;Olerícolas Frutas;2019;13;160.5;13;1.5561;12.35;249.750.00
Rio Claro ;Abobora;Olerícolas Frutas;2019;3;77.05;3.5;0.9914;22.01;76.388.00
Rio das Flores ;Abobora;Olerícolas Frutas;2019;2;29.8;2.7;1.2773;11.04;38.064.00
Rio das Ostras ;Abobora;Olerícolas Frutas;2019;1;1.1;0.5;1.2;2.2;1.320.00
Santo Antônio de Pádua ;Abobora;Olerícolas Frutas;2019;14;108;9;1.9778;12;213.600.00
São Francisco de Itabapoana ;Abobora;Olerícolas Frutas;2019;15;4.880.00;245;1.7131;19.92;8.360.000.00
São João da Barra ;Abobora;Olerícolas Frutas;2019;50;199;20;0.906;9.95;180.300.00
São Pedro da Aldeia ;Abobora;Olerícolas Frutas;2019;28;262;29.9;1.1053;8.76;289.600.00
Sapucaia ;Abobora;Olerícolas Frutas;2019;35;630;35;0.6457;18;406.800.00
Sumidouro ;Abobora;Olerícolas Frutas;2019;36;455;45.5;1.3167;10;599.100.00
Tanguá ;Abobora;Olerícolas Frutas;2019;20;35.35;6.38;1.163;5.54;41.111.50
Vassouras ;Abobora;Olerícolas Frutas;2019;15;343.8;16.65;1.0241;20.65;352.100.00
Aperibé ;Abobrinha;Olerícolas Frutas;2019;2;16;1;1.65;16;26.400.00
Barra do Pirai ;Abobrinha;Olerícolas Frutas;2019;1;22.65;2.42;1.9675;9.36;44.565.00
Barra Mansas ;Abobrinha;Olerícolas Frutas;2019;3;26.79;2.81;1.4401;9.53;38.579.10
Bom Jardim ;Abobrinha;Olerícolas Frutas;2019;198;992;62;0.9339;16;926.400.00
Bom Jesus do Itabapoana ;Abobrinha;Olerícolas Frutas;2019;3;15.1;1.9;1.4983;7.95;22.625.00
Cachoeiras de Macacu ;Abobrinha;Olerícolas Frutas;2019;50;309;33.2;1.1932;9.31;368.700.00
Carmo ;Abobrinha;Olerícolas Frutas;2019;5;94;5.51;0.8681;17.06;81.600.00
Cordeiro ;Abobrinha;Olerícolas Frutas;2019;1;18;1;1.6;18;28.800.00
Duas Barras ;Abobrinha;Olerícolas Frutas;2019;80;1.327.00;54.1;0.8697;24.53;1.154.050.00
Duque de Caxias ;Abobrinha;Olerícolas Frutas;2019;2;298;20.5;2.0658;14.54;615.600.00
Itaocara ;Abobrinha;Olerícolas Frutas;2019;12;122;8;1.1672;15.25;142.400.00
Itaperuna ;Abobrinha;Olerícolas Frutas;2019;8;73;4;0.9;18.25;65.700.00
Magé ;Abobrinha;Olerícolas Frutas;2019;12;94.5;10.5;1.5095;9;142.650.00
Miracema ;Abobrinha;Olerícolas Frutas;2019;2;27.6;3.5;1.2065;7.89;33.300.00
Nova Friburgo ;Abobrinha;Olerícolas Frutas;2019;78;700.36;41.7;1.3121;16.8;918.910.00
Paty do Alferes ;Abobrinha;Olerícolas Frutas;2019;3;43.81;3.8;0.8498;11.53;37.229.70
Petrópolis ;Abobrinha;Olerícolas Frutas;2019;27;396;23.15;1.4652;17.11;580.210.00
Pinheiral ;Abobrinha;Olerícolas Frutas;2019;6;15.2;1.29;1.4016;11.78;21.305.00
Porciúncula ;Abobrinha;Olerícolas Frutas;2019;5;14;1;0.5714;14;8.000.00
Porto Real ;Abobrinha;Olerícolas Frutas;2019;3;60;11;2.5146;5.45;150.875.00
Quatis ;Abobrinha;Olerícolas Frutas;2019;3;36.5;5.5;2.4548;6.64;89.600.00
Resende ;Abobrinha;Olerícolas Frutas;2019;2;18.85;2.5;1.1374;7.54;21.440.00
Rio Claro ;Abobrinha;Olerícolas Frutas;2019;4;55.43;4.5;0.9654;12.32;53.514.50
Rio de Janeiro ;Abobrinha;Olerícolas Frutas;2019;39;969.5;69.25;1.1762;14;1.140.300.00
São José do Vale do Rio Preto ;Abobrinha;Olerícolas Frutas;2019;296;2.175.00;145;0.5968;15;1.298.100.00
Sapucaia ;Abobrinha;Olerícolas Frutas;2019;39;624;39;0.8897;16;555.200.00
Sumidouro ;Abobrinha;Olerícolas Frutas;2019;173;2.007.00;111.5;0.646;18;1.296.450.00
Teresópolis ;Abobrinha;Olerícolas Frutas;2019;80;812;47;0.8928;17.28;724.970.00
Trajano de Morais ;Abobrinha;Olerícolas Frutas;2019;25;200;10;1.03;20;206.000.00
Varre-Sai ;Abobrinha;Olerícolas Frutas;2019;3;173;11.5;1.3679;15.04;236.650.00
Vassouras ;Abobrinha;Olerícolas Frutas;2019;9;60.1;2.9;1.4534;20.72;87.350.00
Aperibé ;Berinjela;Olerícolas Frutas;2019;13;250;10;1.03;25;257.500.00
Bom Jardim ;Berinjela;Olerícolas Frutas;2019;230;3.034.00;82;0.9078;37;2.754.280.00
Cachoeiras de Macacu ;Berinjela;Olerícolas Frutas;2019;53;1.114.00;54.9;1.2571;20.29;1.400.400.00
Cantagalo ;Berinjela;Olerícolas Frutas;2019;2;21.1;0.94;1.0882;22.45;22.960.00
Carmo ;Berinjela;Olerícolas Frutas;2019;11;339.15;11.29;0.7773;30.04;263.617.50
Duas Barras ;Berinjela;Olerícolas Frutas;2019;66;1.106.00;34.9;1.4327;31.69;1.584.550.00
Duque de Caxias ;Berinjela;Olerícolas Frutas;2019;4;51.9;3.45;2.0591;15.04;106.865.00
Itaocara ;Berinjela;Olerícolas Frutas;2019;76;1.102.00;55;1.0545;20.04;1.162.060.00
Itaperuna ;Berinjela;Olerícolas Frutas;2019;10;128;5.5;1.1641;23.27;149.000.00
Magé ;Berinjela;Olerícolas Frutas;2019;15;207.5;11.5;1.6967;18.04;352.075.00
Nova Iguaçu ;Berinjela;Olerícolas Frutas;2019;15;78;8.95;0.889;8.72;69.340.00
Paty do Alferes ;Berinjela;Olerícolas Frutas;2019;3;29.86;1.25;1.5281;23.89;45.628.50
Piraí ;Berinjela;Olerícolas Frutas;2019;4;46.08;2.19;1.9112;21.04;88.066.00
Queimados ;Berinjela;Olerícolas Frutas;2019;1;5.15;0.43;1.6265;11.98;8.376.60
Rio Claro ;Berinjela;Olerícolas Frutas;2019;3;71.42;4.6;0.9213;15.53;65.799.50
Rio de Janeiro ;Berinjela;Olerícolas Frutas;2019;22;660;44.05;0.9079;14.98;599.200.00
Santo Antônio de Pádua ;Berinjela;Olerícolas Frutas;2019;8;156;6;2.0833;26;325.000.00
São Fidélis ;Berinjela;Olerícolas Frutas;2019;82;979.28;24.42;0.7981;40.1;781.603.70
São José de Ubá ;Berinjela;Olerícolas Frutas;2019;5;27;3;0.7;9;18.900.00
São José do Vale do Rio Preto ;Berinjela;Olerícolas Frutas;2019;231;2.660.00;95;0.6909;28;1.837.920.00
São Sebastião do Alto ;Berinjela;Olerícolas Frutas;2019;75;1.890.00;63;1.2208;30;2.307.300.00
Sapucaia ;Berinjela;Olerícolas Frutas;2019;40;1.040.00;40;0.83;26;863.200.00
Seropédica ;Berinjela;Olerícolas Frutas;2019;4;61.8;3.35;1.9492;18.45;120.460.00
