RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;FATURAMENTO BRUTO(R$)
CULTURA : REPOLHO;;;;;;10.030.100,00
Barra Mansas ;3;102,2;3,52;1,4891;29,03;10.996.346,50
Bom Jardim ;221;5.568,00;116;0,9882;48;
Cordeiro ;3;100;2,5;1,07;40;152.184,50
Duas Barras ;66;2.515,00;60,3;0,732;41,71;5.502.240,00
Nova Friburgo ;86;2.255,77;53,5;0,711;42,16;107.000,00
Paty do Alferes ;99;1.480,79;38;0,7741;38,97;1.840.900,00
Petrópolis ;29;231;7,2;0,8919;32,08;1.603.854,00
Rio Claro ;1;88,6;3,4;2,3043;26,06;1.146.305,80
São José do Vale do Rio Preto ;59;1.110,00;18,5;0,773;60;206.040,00
Sapucaia ;41;2.378,00;41;1,0207;58;204.165,00
Seropédica ;2;54;1;0,8889;54;858.000,00
Sumidouro ;332;8.906,00;221;0,5441;40,3;2.427.300,00
Teresópolis ;80;2.183,50;46,9;0,6994;46,56;48.000,00
Trajano de Morais ;68;2.106,08;56,65;0,837;37,18;4.845.870,00
Vassouras ;12;306;6,6;1,4356;46,36;1.527.230,00
TOTAL REPOLHO ;1.102;29.384,94;676,07;0,7715;43,46;1.762.713,00
CULTURA : RÚCULA;;;;;;439.300,00
Armação dos Búzios ;11;12,81;2,57;3,2011;4,98;22.671.102,30
Barra Mansas ;2;32,16;2,71;1,2977;11,87;
Teresópolis ;56;283;24,1;3,4982;11,74;41.006,00
Volta Redonda ;15;39,3;4,9;4,4193;8,02;41.733,50
TOTAL RÚCULA ;84;367,27;34,28;3,3937;10,71;990.000,00
CULTURA : RÚCULA - CULT. PRO;;;;;;173.680,00
Macaé ;1;0,03;0,01;7,5;3;1.246.419,50
Teresópolis ;50;1.497,00;36,7;4,5104;40,79;
TOTAL RÚCULA - CULT. PROTG ;51;1.497,03;36,71;4,5104;40,78;225
CULTURA : SALSA;;;;;;6.752.000,00
Barra Mansas ;18;515,05;21,78;1,6942;23,65;6.752.225,00
Macaé ;12;1,5;0,27;8,8;5,56;
Nova Friburgo ;79;1.166,40;31,58;3,0596;36,93;872.615,00
Paraty ;3;145,2;8;8,043;18,15;13.200,00
Petrópolis ;63;647;22,8;1,7424;28,38;3.568.660,00
Queimados ;3;2,14;0,21;1,2664;10,19;1.167.850,00
Resende ;3;56,25;2,55;1,2704;22,06;1.127.330,00
Rio Claro ;3;158,26;7,85;3,2096;20,16;2.710,00
Rio das Ostras ;1;0,7;0,03;2,7;23,33;71.460,00
Rio de Janeiro ;44;891,6;27,39;1,7623;32,55;507.949,00
Seropédica ;31;508;19,4;3,2224;26,19;1.890,00
Sumidouro ;132;2.380,00;68;2,3672;35;1.571.295,00
Teresópolis ;100;1.507,50;42,9;1,7288;35,14;1.637.000,00
Volta Redonda ;10;135;9,1;4,6259;14,84;5.633.950,00
TOTAL SALSA ;502;8.114,60;261,86;2,3916;30,99;2.606.100,00
TOTAL Olerícolas Folhas ;10.957;285.799,90;10.266,92;1,6459;27,84;624.500,00
GRUPO : Olerícolas Frutos;;;;;;19.406.509,00
CULTURA : ABOBORA;;;;;;470.398.938,10
Aperibé ;2;12;1;1,65;12;
Araruama ;24;342;22,5;1,0395;15,2;
Armação dos Búzios ;12;29,2;2,6;1,8074;11,23;19.800,00
Bom Jesus do Itabapoana ;3;294;28;1,7218;10,5;355.500,00
Cabo Frio ;17;77;7,6;1,8857;10,13;52.775,00
Cachoeiras de Macacu ;40;196;20,3;1,4393;9,66;506.200,00
Campos dos Goytacases ;19;131;12;0,8592;10,92;145.200,00
Cantagalo ;1;13;1;1;13;282.100,00
Carapebus ;5;32;5;1,1227;6,4;112.550,00
Carmo ;4;37,5;2,5;1,114;15;13.000,00
Casimiro de Abreu ;11;195;17;2,1154;11,47;35.925,00
Conceição de Macabu ;3;11,4;0,88;2,1421;12,95;41.775,00
Cordeiro ;5;295;15;0,978;19,67;412.500,00
Duas Barras ;36;377,5;25,8;1,395;14,63;24.420,00
Guapimirim ;4;36;2,8;1,8611;12,86;288.500,00
Iguaba Grande ;15;37,6;10,6;1,2074;3,55;526.600,00
Itaboraí ;3;107,8;5,5;1,3377;19,6;67.000,00
Itaocara ;13;167;8,5;1,4872;19,65;45.400,00
Itaperuna ;15;636;53;0,9283;12;144.200,00
Laje do Muriae ;1;7;0,5;1,2;14;248.360,00
Macaé ;1;0,24;0,22;4;1,09;590.400,00
Miracema ;4;18,6;1,35;1,9387;13,78;8.400,00
Paraíba do Sul ;16;524,4;21,91;1,8608;23,93;960
Paty do Alferes ;12;779;39,1;1,6305;19,92;36.060,00
Petrópolis ;14;286;14,35;1,608;19,93;975.786,00
Porciúncula ;8;15,3;1;0,3755;15,3;1.270.180,00
Rio Bonito ;13;160,5;13;1,5561;12,35;459.900,00
Rio Claro ;3;77,05;3,5;0,9914;22,01;5.745,00
Rio das Flores ;2;29,8;2,7;1,2773;11,04;249.750,00
Rio das Ostras ;1;1,1;0,5;1,2;2,2;76.388,00
Santo Antônio de Pádua ;14;108;9;1,9778;12;38.064,00
São Francisco de Itabapoana ;15;4.880,00;245;1,7131;19,92;1.320,00
São João da Barra ;50;199;20;0,906;9,95;213.600,00
São Pedro da Aldeia ;28;262;29,9;1,1053;8,76;8.360.000,00
Sapucaia ;35;630;35;0,6457;18;180.300,00
Sumidouro ;36;455;45,5;1,3167;10;289.600,00
Tanguá ;20;35,35;6,38;1,163;5,54;406.800,00
Vassouras ;15;343,8;16,65;1,0241;20,65;599.100,00
TOTAL ABOBORA ;520;11.839,14;747,14;1,4762;15,85;41.111,50
CULTURA : ABOBRINHA;;;;;;352.100,00
Aperibé ;2;16;1;1,65;16;17.477.369,50
Barra do Pirai ;1;22,65;2,42;1,9675;9,36;
Barra Mansas ;3;26,79;2,81;1,4401;9,53;26.400,00
Bom Jardim ;198;992;62;0,9339;16;44.565,00
Bom Jesus do Itabapoana ;3;15,1;1,9;1,4983;7,95;38.579,10
Cachoeiras de Macacu ;50;309;33,2;1,1932;9,31;926.400,00
Carmo ;5;94;5,51;0,8681;17,06;22.625,00
Cordeiro ;1;18;1;1,6;18;368.700,00
Duas Barras ;80;1.327,00;54,1;0,8697;24,53;81.600,00
Duque de Caxias ;2;298;20,5;2,0658;14,54;28.800,00
Itaocara ;12;122;8;1,1672;15,25;1.154.050,00
Itaperuna ;8;73;4;0,9;18,25;615.600,00
Magé ;12;94,5;10,5;1,5095;9;142.400,00
Miracema ;2;27,6;3,5;1,2065;7,89;65.700,00
Nova Friburgo ;78;700,36;41,7;1,3121;16,8;142.650,00
Paty do Alferes ;3;43,81;3,8;0,8498;11,53;33.300,00
Petrópolis ;27;396;23,15;1,4652;17,11;918.910,00
Pinheiral ;6;15,2;1,29;1,4016;11,78;37.229,70
Porciúncula ;5;14;1;0,5714;14;580.210,00
Porto Real ;3;60;11;2,5146;5,45;21.305,00
Quatis ;3;36,5;5,5;2,4548;6,64;8.000,00
Resende ;2;18,85;2,5;1,1374;7,54;150.875,00
Rio Claro ;4;55,43;4,5;0,9654;12,32;89.600,00
Rio de Janeiro ;39;969,5;69,25;1,1762;14;21.440,00
São José do Vale do Rio Preto ;296;2.175,00;145;0,5968;15;53.514,50
Sapucaia ;39;624;39;0,8897;16;1.140.300,00
Sumidouro ;173;2.007,00;111,5;0,646;18;1.298.100,00
Teresópolis ;80;812;47;0,8928;17,28;555.200,00
Trajano de Morais ;25;200;10;1,03;20;1.296.450,00
Varre-Sai ;3;173;11,5;1,3679;15,04;724.970,00
Vassouras ;9;60,1;2,9;1,4534;20,72;206.000,00
TOTAL ABOBRINHA ;1.174;11.796,39;741,03;0,9424;15,92;236.650,00
CULTURA : BERINJELA;;;;;;87.350,00
Aperibé ;13;250;10;1,03;25;11.117.473,30
Bom Jardim ;230;3.034,00;82;0,9078;37;
Cachoeiras de Macacu ;53;1.114,00;54,9;1,2571;20,29;257.500,00
Cantagalo ;2;21,1;0,94;1,0882;22,45;2.754.280,00
Carmo ;11;339,15;11,29;0,7773;30,04;1.400.400,00
Duas Barras ;66;1.106,00;34,9;1,4327;31,69;22.960,00
Duque de Caxias ;4;51,9;3,45;2,0591;15,04;263.617,50
Itaocara ;76;1.102,00;55;1,0545;20,04;1.584.550,00
Itaperuna ;10;128;5,5;1,1641;23,27;106.865,00
Magé ;15;207,5;11,5;1,6967;18,04;1.162.060,00
Nova Iguaçu ;15;78;8,95;0,889;8,72;149.000,00
Paty do Alferes ;3;29,86;1,25;1,5281;23,89;352.075,00
Piraí ;4;46,08;2,19;1,9112;21,04;69.340,00
Queimados ;1;5,15;0,43;1,6265;11,98;45.628,50
Rio Claro ;3;71,42;4,6;0,9213;15,53;88.066,00
Rio de Janeiro ;22;660;44,05;0,9079;14,98;8.376,60
Santo Antônio de Pádua ;8;156;6;2,0833;26;65.799,50
São Fidélis ;82;979,28;24,42;0,7981;40,1;599.200,00
São José de Ubá ;5;27;3;0,7;9;325.000,00
São José do Vale do Rio Preto ;231;2.660,00;95;0,6909;28;781.603,70
São Sebastião do Alto ;75;1.890,00;63;1,2208;30;18.900,00
Sapucaia ;40;1.040,00;40;0,83;26;1.837.920,00
Seropédica ;4;61,8;3,35;1,9492;18,45;2.307.300,00
Sumidouro ;135;3.120,00;104;1,081;30;863.200,00
Trajano de Morais ;21;457;21,5;2,0232;21,26;120.460,00
Vassouras ;6;53,4;2,2;1,823;24,27;3.372.600,00
TOTAL BERINJELA ;1.135;18.688,64;693,42;1,0476;26,95;924.600,00
CULTURA : CHUCHU;;;;;;97.350,00
Bom Jardim ;196;4.950,00;66;0,5064;75;19.578.651,80
Cantagalo ;1;6,75;0,15;0,4833;45;
Duas Barras ;16;1.199,00;25,8;0,9583;46,47;2.506.500,00
Duque de Caxias ;1;14,3;1,1;1,2958;13;3.262,50
Paraíba do Sul ;3;12,65;0,22;1,1035;57,5;1.148.950,00
Petrópolis ;73;1.600,00;51,2;1,1541;31,25;18.530,00
Rio Claro ;1;192,21;8;0,6095;24,03;13.959,00
Rio de Janeiro ;58;9.500,00;197;0,5762;48,22;1.846.500,00
São José do Vale do Rio Preto ;920;72.900,00;920;0,4942;79,24;117.147,00
Sapucaia ;42;2.184,00;42;0,9024;52;5.474.000,00
Sumidouro ;42;2.755,00;55;0,6128;50,09;36.028.000,00
Teresópolis ;30;1.667,20;25,1;0,7369;66,42;1.970.800,00
Trajano de Morais ;9;896;17,3;1,3978;51,79;1.688.400,00
TOTAL CHUCHU ;1.392;97.877,11;1.408,87;0,5445;69,47;1.228.640,00
CULTURA : ERVILHA;;;;;;1.252.400,00
Duas Barras ;19;63,7;6,45;7,3148;9,88;53.297.088,50
Nova Friburgo ;80;378,36;40,5;8,1883;9,34;
São José do Vale do Rio Preto ;41;77;11;4,5591;7;465.950,00
Sumidouro ;195;1.071,00;119;4,6862;9;3.098.140,00
Teresópolis ;30;23,4;3,05;4,6444;7,67;351.050,00
TOTAL ERVILHA ;365;1.613,46;180;5,6046;8,96;5.018.940,00
CULTURA : FEIJÃO GUANDU;;;;;;108.680,00
Tanguá ;44;37;25,7;13,1622;1,44;9.042.760,00
TOTAL FEIJÃO GUANDU ;44;37;25,7;13,1622;1,44;
CULTURA : FEIJÃO MAUÁ;;;;;;487.000,00
Araruama ;35;26,45;8,15;4,0614;3,25;487.000,00
Cachoeiras de Macacu ;191;775,5;163;1,7247;4,76;
Duque de Caxias ;2;2,27;0,75;2,6154;3,03;107.425,00
Magé ;74;335,75;76,5;3,1697;4,39;1.337.500,00
São Francisco de Itabapoana ;49;350,5;77;1,8475;4,55;5.937,00
São João da Barra ;28;52,8;10,5;1,5456;5,03;1.064.237,50
Tanguá ;21;33,2;16,35;1,9982;2,03;647.550,00
TOTAL FEIJÃO MAUÁ ;400;1.576,47;352,25;2,1;4,48;81.610,00
CULTURA : JILÓ;;;;;;66.340,00
Angra dos Reis ;10;63,5;7;5;9,07;3.310.599,50
Aperibé ;40;600;30;1,4433;20;
Barra Mansas ;3;344,85;22,07;2,6936;15,63;317.500,00
Bom Jardim ;215;2.550,00;102;0,9003;25;866.000,00
Bom Jesus do Itabapoana ;4;67,8;3,9;1,5279;17,38;928.889,50
Cachoeiras de Macacu ;105;2.190,00;95;1,4022;23,05;2.295.750,00
Cambuci ;116;2.258,00;122;1,8835;18,51;103.595,00
Cantagalo ;4;52,4;2,9;1,3174;18,07;3.070.850,00
Carmo ;8;216;9,74;1,7729;22,18;4.252.900,00
Cordeiro ;2;60;2;1,65;30;69.030,00
Duas Barras ;58;797;33,8;1,9194;23,58;382.950,00
Duque de Caxias ;3;77,9;5,12;2,1253;15,21;99.000,00
Itaocara ;107;1.485,00;77,5;1,4031;19,16;1.529.800,00
Itaperuna ;28;315;15,8;0,9819;19,94;165.560,00
Japeri ;37;203;24;1,634;8,46;2.083.620,00
Laje do Muriae ;2;0,7;0,7;2,1429;1;309.300,00
Magé ;18;216,45;15,75;2,1753;13,74;331.700,00
Miguel Pereira ;2;30,5;1,7;1,6346;17,94;1.500,00
Natividade ;4;36;2;2,3;18;470.835,00
Nova Friburgo ;38;559,9;26,5;1,9849;21,13;49.854,50
Nova Iguaçu ;54;180;20,8;1,4264;8,65;82.800,00
Paraíba do Sul ;11;47,9;2,26;1,9008;21,19;1.111.340,00
Paty do Alferes ;6;64,05;3,53;1,677;18,14;256.750,00
Petrópolis ;41;580;25,5;2,1644;22,75;91.049,00
Pinheiral ;8;23,6;1,47;2,5952;16,05;107.414,50
Piraí ;10;40,5;2,2;2,3543;18,41;1.255.350,00
Porciúncula ;2;13;1;0,8462;13;61.247,50
Quatis ;2;19;2;2,9105;9,5;95.350,00
Queimados ;2;24,6;1,35;1,4939;18,22;11.000,00
Resende ;3;13,95;1,25;2,3324;11,16;55.300,00
Rio Bonito ;12;84;12;2;7;36.750,00
Rio Claro ;3;104,8;7,1;0,9471;14,76;32.537,50
Rio de Janeiro ;36;478,8;34,29;1,1339;13,96;168.000,00
Santo Antônio de Pádua ;15;216;12;2,25;18;99.254,00
São Fidélis ;65;438,25;17,27;0,9128;25,38;542.916,00
São João da Barra ;30;276;18,25;1,114;15,12;486.000,00
São José do Vale do Rio Preto ;197;1.825,00;73;1,0978;25;400.045,60
São Sebastião do Alto ;84;1.760,00;80;1,8794;22;307.455,00
Sapucaia ;40;1.000,00;40;1,2325;25;2.003.500,00
Silva Jardim ;7;169;13;0,9746;13;3.307.700,00
Sumidouro ;195;3.128,00;136;1,1261;23;1.232.500,00
Teresópolis ;70;459,2;20;1,3134;22,96;164.700,00
Trajano de Morais ;24;494,5;20,2;1,8503;24,48;3.522.335,00
Valença ;6;65,28;2,82;2,5473;23,15;603.122,00
Varre-Sai ;7;160;7,5;1,6091;21,33;914.980,00
Vassouras ;16;187;6,55;1,9043;28,55;166.290,00
Volta Redonda ;6;65,3;3,4;2,2737;19,21;257.450,00
TOTAL JILÓ ;1.756;24.041,73;1.164,22;1,4644;20,65;356.100,00
CULTURA : MAXIXE;;;;;;148.470,00
Bom Jardim ;128;155;31;1,1226;5;35.206.340,10
Cachoeiras de Macacu ;27;139;16,4;1,761;8,48;
Campos dos Goytacases ;36;104;8,2;0,812;12,68;174.000,00
Iguaba Grande ;5;2,4;2,2;1,5583;1,09;244.780,00
Magé ;15;15,25;4,3;2,941;3,55;84.450,00
Paty do Alferes ;3;93,52;7;1,8137;13,36;3.740,00
Petrópolis ;12;98;8,8;1,7194;11,14;44.850,00
São João da Barra ;110;477;45;1,4036;10,6;169.615,70
São José do Vale do Rio Preto ;84;324;27;0,9396;12;168.500,00
São Pedro da Aldeia ;11;11;8,1;1,8909;1,36;669.500,00
Seropédica ;6;12,3;2,1;0,5374;5,86;304.440,00
TOTAL MAXIXE ;437;1.431,47;160,1;1,3212;8,94;20.800,00
CULTURA : MELANCIA;;;;;;6.610,00
Duas Barras ;6;8,6;0,4;0,7733;21,5;1.891.285,70
TOTAL MELANCIA ;6;8,6;0,4;0,7733;21,5;
CULTURA : MILHO VERDE;;;;;;6.650,00
Angra dos Reis ;32;127,5;14;10;9,11;6.650,00
Cachoeiras de Macacu ;234;6.430,00;632;0,6444;10,17;
Campos dos Goytacases ;49;152;12,3;1,1707;12,36;1.275.000,00
Carmo ;3;135,7;14,76;0,6763;9,19;4.143.250,00
Casimiro de Abreu ;11;56;19;3;2,95;177.950,00
Duas Barras ;12;23,5;3,5;0,8426;6,71;91.770,00
Guapimirim ;58;3.630,00;303;0,5438;11,98;168.000,00
Itaocara ;5;25;2,5;1;10;19.800,00
Itaperuna ;31;185,5;18,7;2,1617;9,92;1.973.900,00
Japeri ;46;270;32,8;0,6624;8,23;25.000,00
Laje do Muriae ;1;16,5;1,35;2,7788;12,22;401.000,00
Magé ;163;2.993,00;326;1,6719;9,18;178.860,00
Mangaratiba ;9;35;8;1,0857;4,38;45.850,00
Nova Friburgo ;44;427,25;53,9;0,8776;7,93;5.004.100,00
Nova Iguaçu ;33;136;20,4;0,604;6,67;38.000,00
Petrópolis ;17;70,5;12,3;1,7051;5,73;374.940,00
Porciúncula ;5;13,8;1,7;2,7217;8,12;82.150,00
Queimados ;4;9,95;0,76;0,9975;13,09;120.210,00
Rio Bonito ;6;30;5;1,28;6;37.560,00
Rio Claro ;10;247,55;33;0,9866;7,5;9.925,00
Rio das Ostras ;3;1,56;0,17;2,625;9,18;38.400,00
São Gonçalo ;32;130,01;20;1,3694;6,5;244.235,00
Silva Jardim ;5;542;57;0,4258;9,51;4.095,00
Sumidouro ;32;384;48;0,615;8;178.035,10
TOTAL MILHO VERDE ;845;16.072,32;1.640,14;0,9394;9,8;230.800,00
CULTURA : MORANGO;;;;;;236.160,00
Nova Friburgo ;50;933,4;33,7;11,3212;27,7;15.098.990,10
Sapucaia ;2;20;2;4,25;10;
Trajano de Morais ;1;1,44;0,24;12;6;10.567.250,00
TOTAL MORANGO ;53;954,84;35,94;11,1742;26,57;85.000,00
CULTURA : PEPINO;;;;;;17.280,00
Aperibé ;3;60;1,5;1,1;40;10.669.530,00
Bom Jardim ;149;2.350,00;47;1,0511;50;
Cachoeiras de Macacu ;12;119;10;1,2328;11,9;66.000,00
Cambuci ;17;1.000,00;24;0,916;41,67;2.470.000,00
Carmo ;12;1.156,60;23,05;0,6342;50,18;146.700,00
Cordeiro ;7;212;6,5;1,4189;32,62;916.000,00
Duas Barras ;63;1.250,00;29,2;0,8401;42,81;733.516,00
Duque de Caxias ;4;27;1,93;2,0211;13,99;300.800,00
Itaocara ;25;610;15;1,0191;40,67;1.050.100,00
Itaperuna ;20;700;14;0,94;50;54.570,00
Paty do Alferes ;12;292,95;6,81;1,0394;43,02;621.640,00
Rio Claro ;1;137;4;1,5987;34,25;658.000,00
Santo Antônio de Pádua ;8;120;4;1,55;30;304.479,60
São Fidélis ;47;580,32;13,94;1,0412;41,63;219.016,00
São José de Ubá ;190;7.200,00;180;0,1861;40;186.000,00
São José do Vale do Rio Preto ;238;5.675,00;113,5;0,4974;50;604.203,80
São Sebastião do Alto ;67;3.360,00;56;0,8107;60;1.340.000,00
Sapucaia ;34;1.428,00;34;0,9515;42;2.823.000,00
Sumidouro ;116;4.032,00;96;0,8171;42;2.724.000,00
Vassouras ;2;57;1,5;1,4351;38;1.358.700,00
TOTAL PEPINO ;1.027;30.366,87;681,93;0,6571;44,53;3.294.690,00
CULTURA : PIMENTA;;;;;;81.800,00
Cachoeiras de Macacu ;42;120,5;28,5;7,9191;4,23;19.953.215,40
Rio Bonito ;2;12;2;3;6;
Valença ;16;77,83;34,31;5,5099;2,27;954.250,00
TOTAL PIMENTA ;60;210,33;64,81;6,747;3,25;36.000,00
CULTURA : PIMENTÃO;;;;;;428.837,00
Aperibé ;19;345;15;1,6333;23;1.419.087,00
Areal ;1;15;0,5;2;30;
Barra Mansas ;1;38,29;2,08;2,3122;18,41;563.500,00
Bom Jardim ;297;2.760,00;120;1,0328;23;30.000,00
Bom Jesus do Itabapoana ;4;97,8;4,29;1,555;22,8;88.536,00
Cachoeiras de Macacu ;74;1.216,00;54,2;1,1577;22,44;2.850.620,00
Cambuci ;62;775;121;2,3629;6,4;152.080,00
Cantagalo ;1;7,8;0,35;1,2795;22,29;1.407.800,00
Carmo ;6;57,5;2,3;1,4722;25;1.831.250,00
Duas Barras ;61;909;40,1;1,7679;22,67;9.980,00
Duque de Caxias ;2;0,99;0,12;2,4465;8,25;84.650,00
Italva ;38;823;32,6;1,261;25,25;1.607.000,00
Itaocara ;36;593;23,5;1,771;25,23;2.422,00
Itaperuna ;24;845;22;1,2485;38,41;1.037.810,00
Japeri ;2;2,5;0,7;0,92;3,57;1.050.230,00
Macaé ;1;0,15;0,01;6;15;1.055.000,00
Magé ;13;205;10,25;2,1512;20;2.300,00
Miguel Pereira ;2;109;12,06;1,7247;9,04;900
Nova Friburgo ;37;481,85;17,6;1,5079;27,38;441.000,00
Nova Iguaçu ;20;135;17;1,3655;7,94;187.990,00
Paraíba do Sul ;16;138,93;3,05;4,69;45,55;726.590,00
Paty do Alferes ;102;1.807,02;50,3;1,8016;35,92;184.340,00
Petrópolis ;31;316;14,3;2,5761;22,1;651.585,00
Piraí ;5;43,1;2,22;2,2589;19,41;3.255.573,00
Quatis ;2;12,5;1,5;2,5;8,33;814.060,00
Resende ;3;18,75;1,65;1,7803;11,36;97.360,00
Rio Claro ;2;131,04;6,2;2,4558;21,14;31.250,00
Rio das Ostras ;1;4,1;0,5;1,2559;8,2;33.380,00
Santo Antônio de Pádua ;16;330;11;2,2727;30;321.813,90
São Fidélis ;59;255,58;17,71;0,8716;14,43;5.149,00
São João da Barra ;30;190,3;19;1,067;10,02;750.000,00
São José de Ubá ;125;1.240,00;81;0,6573;15,31;222.771,30
São José do Vale do Rio Preto ;221;1.500,00;75;0,9631;20;203.050,00
São Sebastião do Alto ;80;1.642,00;75;1,676;21,89;815.000,00
Sapucaia ;41;1.148,00;41;0,9829;28;1.444.600,00
