RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;FATURAMENTO BRUTO(R$)
FEIJÃO ;1.051;1.251,17;1.052,85;3,435;1,19;4.627.304,80
FEIJÃO MAUÁ ;400;1.576,47;352,25;2,1;4,48;4.477.624,50
CENOURA ;234;2.259,42;94,23;1,2839;23,98;4.297.739,80
MANGA ;193;2.642,62;137,46;1,0559;19,22;3.310.599,50
BETERRABA ;190;2.326,44;109,76;1,1977;21,2;2.900.968,00
BERTALHA ;52;1.246,00;50,45;2,2191;24,7;2.790.384,00
VAGEM FRANCESA ;40;395,9;11,7;6,1388;33,84;2.786.439,50
MAXIXE ;437;1.431,47;160,1;1,3212;8,94;2.764.940,00
ALHO PORRÓ ;88;646,7;25;2,2871;25,87;2.430.360,00
PIMENTA ;60;210,33;64,81;6,747;3,25;1.891.285,70
RÚCULA ;84;367,27;34,28;3,3937;10,71;1.479.056,00
ARROZ ;41;618,6;235,4;1,663;2,63;1.419.087,00
LOURO ;36;172,97;44,06;4,9254;3,93;1.246.419,50
UVA ;13;122,66;18,45;6,9447;6,65;1.028.759,00
BATATA ;44;441,7;22,2;1,1975;19,9;851.938,10
NABO ;18;225,3;9,1;2,2574;24,76;851.837,80
FEIJÃO GUANDU ;44;37;25,7;13,1622;1,44;528.957,00
TOMATE - CULT.PROTG ;36;87,86;3,75;5,139;23,43;508.600,00
CARÁ ;11;208;13;1,8192;16;487.000,00
ABACATE ;66;196,79;28,58;1,3472;6,89;451.510,00
GRAVIOLA ;3;33;3;6,7273;11;378.400,00
LIXIA ;4;15,6;4,6;10;3,39;265.114,40
ACEROLA ;6;27,45;6;2,6975;4,58;222.000,00
FIGO ;1;3,9;0,35;7,9077;11,14;156.000,00
PINHA ;1;3;2;8,1333;1,5;74.047,50
PESSEGO ;1;3;0,3;5,12;10;30.840,00
URUCUM ;2;15;10;1;1,5;24.400,00
CAJU ;1;4,7;0,6;1,9064;7,83;15.360,00
MELANCIA ;6;8,6;0,4;0,7733;21,5;15.000,00
ESTADO;53.492;3.987.005,54;139.060,52;0,5315;28,67;8.960,00
;;;;;;
;;;;;;
