RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
TOTAL BANANA PRATA ;1.633;44.995,33;5.835,11;1,5072;7,71;67.817.096,70
CULTURA : CAJU;;;;;;
São Pedro da Aldeia ;1;4,7;0,6;1,9064;7,83;8.960,00
TOTAL CAJU ;1;4,7;0,6;1,9064;7,83;8.960,00
CULTURA : CAQUI;;;;;;
Cordeiro ;1;570;19;3,1842;30;1.815.000,00
Duas Barras ;14;469;22,5;1,1284;20,84;529.200,00
Mangaratiba ;28;312;28;2,0353;11,14;635.000,00
Nova Friburgo ;41;929;41;2,1413;22,66;1.989.300,00
Rio de Janeiro ;59;655;40;1,4977;16,38;981.000,00
São Gonçalo ;11;51;7,5;2,4904;6,8;127.010,00
São José do Vale do Rio Preto ;10;6.150,00;205;0,5177;30;3.183.600,00
Sumidouro ;123;4.630,00;198;2,3991;23,38;11.107.940,00
Trajano de Morais ;24;170;17;2,3265;10;395.500,00
Valença ;2;12,1;0,6;3,6157;20,17;43.750,00
Varre-Sai ;6;27;10;2,5;2,7;67.500,00
TOTAL CAQUI ;319;13.975,10;588,6;1,4937;23,74;20.874.800,00
CULTURA : COCO VERDE;;;;;;
Aperibé ;6;80;5;1,34;16;107.200,00
Araruama ;18;2.193,00;80;1,7277;27,41;3.788.850,00
Armação dos Búzios ;2;16,5;1;2,9509;16,5;48.690,00
Cabo Frio ;5;129;9;2,8589;14,33;368.800,00
Cachoeiras de Macacu ;13;619;88;1,4661;7,03;907.500,00
Campos dos Goytacases ;54;158;12,2;1,2703;12,95;200.700,00
Carapebus ;3;38,5;3,5;1,0279;11;39.575,00
Duque de Caxias ;4;107,9;8,95;2,0667;12,06;223.000,00
Guapimirim ;5;202;28,8;1,198;7,01;242.000,00
Itaboraí ;8;41,31;3,86;1,0387;10,7;42.909,00
Itaguaí ;30;2.550,00;110;1,0257;23,18;2.615.500,00
Italva ;8;376;12;1,3337;31,33;501.486,00
Itaocara ;10;130;8;1,4346;16,25;186.500,00
Itaperuna ;6;145,2;9,8;1,2187;14,82;176.960,00
Japeri ;38;764;45;0,9641;16,98;736.600,00
Magé ;11;115;11,5;1,9035;10;218.900,00
Mangaratiba ;14;193;11;1,7777;17,55;343.100,00
Maricá ;7;31,22;21,1;0,7945;1,48;24.805,50
Natividade ;4;84,9;6;1,1837;14,15;100.500,00
Nova Iguaçu ;19;320;24;0,9407;13,33;301.020,00
Paracambi ;3;6;4;2;1,5;12.000,00
Quissamã ;50;16.450,00;700;0,4959;23,5;8.157.500,00
Rio Bonito ;51;3.710,00;165;1,1434;22,48;4.242.000,00
Rio das Ostras ;4;48,2;3,5;0,975;13,77;46.994,00
Rio de Janeiro ;56;5.030,00;324;0,9474;15,52;4.765.600,00
Santo Antônio de Pádua ;9;180;9;1,8;20;324.000,00
São Fidélis ;6;427,96;30;1,5;14,27;641.940,00
São Francisco de Itabapoana ;42;188;77;1,0521;2,44;197.800,00
São Gonçalo ;12;352,5;23,5;1,6119;15;568.200,00
São João da Barra ;52;2.344,50;93;1,0611;25,21;2.487.700,00
São Pedro da Aldeia ;3;239;7;1,118;34,14;267.200,00
Saquarema ;30;1.649,00;111;1,4018;14,86;2.311.500,00
Seropédica ;38;1.422,00;110;1,0442;12,93;1.484.900,00
Silva Jardim ;11;353;23;0,9836;15,35;347.200,00
Tanguá ;35;442,3;33;1,1458;13,4;506.785,00
Três Rios ;1;39,77;3;1,7322;13,26;68.890,80
TOTAL COCO VERDE ;668;41.176,76;2.214,71;0,9133;18,59;37.604.805,30
CULTURA : FIGO;;;;;;
Duas Barras ;1;3,9;0,35;7,9077;11,14;30.840,00
TOTAL FIGO ;1;3,9;0,35;7,9077;11,14;30.840,00
CULTURA : GOIABA;;;;;;
Bom Jardim ;92;760;26;2,2559;29,23;1.714.500,00
Bom Jesus do Itabapoana ;5;231,5;6,5;2,2233;35,62;514.700,00
Cabo Frio ;5;55,6;3,6;1,7373;15,44;96.595,00
Cachoeiras de Macacu ;150;16.630,00;527;1,3446;31,56;22.360.000,00
Campos dos Goytacases ;12;63;5;0,919;12,6;57.900,00
Duas Barras ;2;17,2;0,69;3,4058;24,93;58.580,00
Duque de Caxias ;9;402;24,4;2,4649;16,48;990.900,00
Guapimirim ;9;563;42,1;2,0214;13,37;1.138.050,00
Itaguaí ;5;241;22;2,8631;10,95;690.000,00
Italva ;2;56,4;3;1,4716;18,8;83.000,00
Itaocara ;5;125;6;1,1224;20,83;140.300,00
Japeri ;1;68;2;2,4118;34;164.000,00
Magé ;21;624;26;2,4837;24;1.549.800,00
Nova Friburgo ;25;478,5;15,5;2,0399;30,87;976.075,00
Nova Iguaçu ;4;198;6;2,5;33;495.000,00
São Francisco de Itabapoana ;8;200;10;1,66;20;332.000,00
São João da Barra ;15;485,5;19,5;1,5154;24,9;735.750,00
São Sebastião do Alto ;2;30;1;1,3;30;39.000,00
Seropédica ;2;76,3;4,8;1,5976;15,9;121.900,00
Silva Jardim ;4;86;10;1,2465;8,6;107.200,00
Varre-Sai ;2;10,64;0,7;3;15,2;31.920,00
TOTAL GOIABA ;380;21.401,64;761,79;1,5138;28,09;32.397.170,00
CULTURA : GRAVIOLA;;;;;;
Itaocara ;3;33;3;6,7273;11;222.000,00
TOTAL GRAVIOLA ;3;33;3;6,7273;11;222.000,00
CULTURA : LARANJA;;;;;;
Araruama ;155;25.012,50;1.871,00;1,4648;13,37;36.638.075,00
Bom Jesus do Itabapoana ;3;617,96;103;1,5306;6;945.840,00
Cabo Frio ;8;52;7;2,575;7,43;133.900,00
Cachoeiras de Macacu ;7;374;24,5;1,7557;15,27;656.650,00
Carapebus ;3;37;5;1,2709;7,4;47.025,00
Casimiro de Abreu ;19;201,5;26;1,6846;7,75;339.450,00
Duas Barras ;42;359,6;37,8;1,1437;9,51;411.260,00
Iguaba Grande ;6;31,3;3,2;1,9687;9,78;61.620,00
Itaboraí ;60;3.208,90;269,5;1,3191;11,91;4.232.830,00
Japeri ;30;82;18;1,9354;4,56;158.700,00
Natividade ;22;504;42;1,5;12;756.000,00
Niterói ;4;33;3;1,8923;11;62.447,00
Porciúncula ;5;2.780,00;120;1,1306;23,17;3.143.000,00
Rio Bonito ;140;16.760,00;1.200,00;1,3126;13,97;21.999.500,00
Rio das Ostras ;1;20;2;1,55;10;31.000,00
São Gonçalo ;55;360;30;1,8296;12;658.650,00
São José de Ubá ;15;65,7;7,6;1,4307;8,64;94.000,00
