RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
CULTURA : MILHO VERDE;;;;;;
Angra dos Reis ;32;127,5;14;10;9,11;1.275.000,00
Cachoeiras de Macacu ;234;6.430,00;632;0,6444;10,17;4.143.250,00
Campos dos Goytacases ;49;152;12,3;1,1707;12,36;177.950,00
Carmo ;3;135,7;14,76;0,6763;9,19;91.770,00
Casimiro de Abreu ;11;56;19;3;2,95;168.000,00
Duas Barras ;12;23,5;3,5;0,8426;6,71;19.800,00
Guapimirim ;58;3.630,00;303;0,5438;11,98;1.973.900,00
Itaocara ;5;25;2,5;1;10;25.000,00
Itaperuna ;31;185,5;18,7;2,1617;9,92;401.000,00
Japeri ;46;270;32,8;0,6624;8,23;178.860,00
Laje do Muriae ;1;16,5;1,35;2,7788;12,22;45.850,00
Magé ;163;2.993,00;326;1,6719;9,18;5.004.100,00
Mangaratiba ;9;35;8;1,0857;4,38;38.000,00
Nova Friburgo ;44;427,25;53,9;0,8776;7,93;374.940,00
Nova Iguaçu ;33;136;20,4;0,604;6,67;82.150,00
Petrópolis ;17;70,5;12,3;1,7051;5,73;120.210,00
Porciúncula ;5;13,8;1,7;2,7217;8,12;37.560,00
Queimados ;4;9,95;0,76;0,9975;13,09;9.925,00
Rio Bonito ;6;30;5;1,28;6;38.400,00
Rio Claro ;10;247,55;33;0,9866;7,5;244.235,00
Rio das Ostras ;3;1,56;0,17;2,625;9,18;4.095,00
São Gonçalo ;32;130,01;20;1,3694;6,5;178.035,10
Silva Jardim ;5;542;57;0,4258;9,51;230.800,00
Sumidouro ;32;384;48;0,615;8;236.160,00
TOTAL MILHO VERDE ;845;16.072,32;1.640,14;0,9394;9,8;15.098.990,10
CULTURA : MORANGO;;;;;;
Nova Friburgo ;50;933,4;33,7;11,3212;27,7;10.567.250,00
Sapucaia ;2;20;2;4,25;10;85.000,00
Trajano de Morais ;1;1,44;0,24;12;6;17.280,00
TOTAL MORANGO ;53;954,84;35,94;11,1742;26,57;10.669.530,00
CULTURA : PEPINO;;;;;;
Aperibé ;3;60;1,5;1,1;40;66.000,00
Bom Jardim ;149;2.350,00;47;1,0511;50;2.470.000,00
Cachoeiras de Macacu ;12;119;10;1,2328;11,9;146.700,00
Cambuci ;17;1.000,00;24;0,916;41,67;916.000,00
Carmo ;12;1.156,60;23,05;0,6342;50,18;733.516,00
Cordeiro ;7;212;6,5;1,4189;32,62;300.800,00
Duas Barras ;63;1.250,00;29,2;0,8401;42,81;1.050.100,00
Duque de Caxias ;4;27;1,93;2,0211;13,99;54.570,00
Itaocara ;25;610;15;1,0191;40,67;621.640,00
Itaperuna ;20;700;14;0,94;50;658.000,00
Paty do Alferes ;12;292,95;6,81;1,0394;43,02;304.479,60
Rio Claro ;1;137;4;1,5987;34,25;219.016,00
Santo Antônio de Pádua ;8;120;4;1,55;30;186.000,00
São Fidélis ;47;580,32;13,94;1,0412;41,63;604.203,80
São José de Ubá ;190;7.200,00;180;0,1861;40;1.340.000,00
São José do Vale do Rio Preto ;238;5.675,00;113,5;0,4974;50;2.823.000,00
São Sebastião do Alto ;67;3.360,00;56;0,8107;60;2.724.000,00
Sapucaia ;34;1.428,00;34;0,9515;42;1.358.700,00
Sumidouro ;116;4.032,00;96;0,8171;42;3.294.690,00
Vassouras ;2;57;1,5;1,4351;38;81.800,00
TOTAL PEPINO ;1.027;30.366,87;681,93;0,6571;44,53;19.953.215,40
CULTURA : PIMENTA;;;;;;
Cachoeiras de Macacu ;42;120,5;28,5;7,9191;4,23;954.250,00
Rio Bonito ;2;12;2;3;6;36.000,00
Valença ;16;77,83;34,31;5,5099;2,27;428.837,00
TOTAL PIMENTA ;60;210,33;64,81;6,747;3,25;1.419.087,00
CULTURA : PIMENTÃO;;;;;;
Aperibé ;19;345;15;1,6333;23;563.500,00
Areal ;1;15;0,5;2;30;30.000,00
Barra Mansas ;1;38,29;2,08;2,3122;18,41;88.536,00
Bom Jardim ;297;2.760,00;120;1,0328;23;2.850.620,00
Bom Jesus do Itabapoana ;4;97,8;4,29;1,555;22,8;152.080,00
Cachoeiras de Macacu ;74;1.216,00;54,2;1,1577;22,44;1.407.800,00
Cambuci ;62;775;121;2,3629;6,4;1.831.250,00
Cantagalo ;1;7,8;0,35;1,2795;22,29;9.980,00
Carmo ;6;57,5;2,3;1,4722;25;84.650,00
Duas Barras ;61;909;40,1;1,7679;22,67;1.607.000,00
Duque de Caxias ;2;0,99;0,12;2,4465;8,25;2.422,00
Italva ;38;823;32,6;1,261;25,25;1.037.810,00
Itaocara ;36;593;23,5;1,771;25,23;1.050.230,00
Itaperuna ;24;845;22;1,2485;38,41;1.055.000,00
Japeri ;2;2,5;0,7;0,92;3,57;2.300,00
Macaé ;1;0,15;0,01;6;15;900
Magé ;13;205;10,25;2,1512;20;441.000,00
Miguel Pereira ;2;109;12,06;1,7247;9,04;187.990,00
Nova Friburgo ;37;481,85;17,6;1,5079;27,38;726.590,00
Nova Iguaçu ;20;135;17;1,3655;7,94;184.340,00
Paraíba do Sul ;16;138,93;3,05;4,69;45,55;651.585,00
Paty do Alferes ;102;1.807,02;50,3;1,8016;35,92;3.255.573,00
Petrópolis ;31;316;14,3;2,5761;22,1;814.060,00
Piraí ;5;43,1;2,22;2,2589;19,41;97.360,00
Quatis ;2;12,5;1,5;2,5;8,33;31.250,00
Resende ;3;18,75;1,65;1,7803;11,36;33.380,00
Rio Claro ;2;131,04;6,2;2,4558;21,14;321.813,90
Rio das Ostras ;1;4,1;0,5;1,2559;8,2;5.149,00
Santo Antônio de Pádua ;16;330;11;2,2727;30;750.000,00
São Fidélis ;59;255,58;17,71;0,8716;14,43;222.771,30
São João da Barra ;30;190,3;19;1,067;10,02;203.050,00
São José de Ubá ;125;1.240,00;81;0,6573;15,31;815.000,00
São José do Vale do Rio Preto ;221;1.500,00;75;0,9631;20;1.444.600,00
São Sebastião do Alto ;80;1.642,00;75;1,676;21,89;2.752.000,00
Sapucaia ;41;1.148,00;41;0,9829;28;1.128.400,00
Seropédica ;4;43;2;1,7744;21,5;76.300,00
Sumidouro ;160;4.764,00;160;1,2337;29,78;5.877.360,00
Teresópolis ;51;498,2;12,55;1,4849;39,7;739.800,00
Trajano de Morais ;75;605;27,5;2,1621;22;1.308.100,00
Vassouras ;12;174,5;4,65;1,8464;37,53;322.200,00
TOTAL PIMENTÃO ;1.737;24.278,90;1.101,79;1,4071;22,04;34.163.750,20
CULTURA : QUIABO;;;;;;
Angra dos Reis ;33;230,5;16,5;4,3492;13,97;1.002.500,00
Aperibé ;54;660;55;2,3491;12;1.550.400,00
Araruama ;40;160,1;18,2;3,3232;8,8;532.050,00
Armação dos Búzios ;15;22,2;1,9;2,9167;11,68;64.750,00
Barra Mansas ;9;195,12;14,3;5,0957;13,64;994.280,00
Cabo Frio ;16;42;4,2;2,9643;10;124.500,00
Cachoeiras de Macacu ;103;555,5;119,2;1,647;4,66;914.900,00
Cambuci ;50;1.196,00;50;2,2912;23,92;2.740.300,00
Campos dos Goytacases ;44;151;12,3;1,8705;12,28;282.450,00
Cantagalo ;10;86,2;4,8;1,3473;17,96;116.135,00
Carmo ;4;31,65;2,14;1,8688;14,79;59.148,00
Duas Barras ;13;30,1;1,55;1,9415;19,42;58.440,00
Duque de Caxias ;7;379;36;2,5557;10,53;968.600,00
Guapimirim ;8;92,1;15,3;1,7245;6,02;158.830,00
Iguaba Grande ;10;72,2;7,75;3,3161;9,32;239.420,00
Itaboraí ;31;75,45;6,75;1,7009;11,18;128.331,00
Itaguaí ;5;474;26;2,0633;18,23;978.000,00
Itaocara ;125;1.478,00;114;2,2143;12,96;3.272.690,00
Itaperuna ;34;203,5;20,7;1,3582;9,83;276.400,00
Japeri ;251;757;87,1;2,2057;8,69;1.669.700,00
Laje do Muriae ;3;14;0,8;2,4964;17,5;34.950,00
Magé ;102;1.007,90;102;2,6063;9,88;2.626.920,00
Miracema ;3;153,7;12,3;1,7976;12,5;276.295,00
Natividade ;4;27,5;2;3,1273;13,75;86.000,00
Nova Iguaçu ;231;731;84,8;2,1605;8,62;1.579.300,00
Paracambi ;34;569,2;38,5;2,9455;14,78;1.676.600,00
Paraíba do Sul ;4;23,64;1,99;2,0398;11,88;48.219,70
Pinheiral ;7;24,5;1,8;2,5918;13,61;63.500,00
Queimados ;15;91;11,09;2,6225;8,21;238.650,00
Resende ;6;28,25;1,95;2,3402;14,49;66.110,00
Rio Bonito ;12;88;9;2,3125;9,78;203.500,00
Rio Claro ;6;141;11,8;2,2061;11,95;311.054,00
Rio das Ostras ;1;1,98;0,13;2,2;15,23;4.356,00
Rio de Janeiro ;86;1.437,00;110;1,3308;13,06;1.912.300,00
Santo Antônio de Pádua ;22;144;12;2,4833;12;357.600,00
São Fidélis ;305;1.076,06;134,88;1,0353;7,98;1.114.004,70
São Francisco de Itabapoana ;31;153;25,8;2,2967;5,93;351.400,00
São Gonçalo ;41;208;26;2,5242;8;525.040,00
São João da Barra ;90;1.238,00;107;1,8908;11,57;2.340.800,00
São Pedro da Aldeia ;24;199;20,9;3,0754;9,52;612.000,00
São Sebastião do Alto ;160;2.774,00;136;1,698;20,4;4.710.240,00
Seropédica ;48;1.776,00;129,5;3,2215;13,71;5.721.300,00
Silva Jardim ;5;70;10;1,3193;7;92.350,00
Sumidouro ;15;404;24,75;1,3446;16,32;543.200,00
Tanguá ;39;314;41,5;2,5629;7,57;804.750,00
Volta Redonda ;12;90,7;8,6;2,208;10,55;200.270,00
TOTAL QUIABO ;2.168;19.677,05;1.678,78;2,1666;11,72;42.632.533,40
CULTURA : TOMATE;;;;;;
Aperibé ;4;120;2;3,875;60;465.000,00
Bom Jardim ;431;15.900,00;212;1,0317;75;16.404.000,00
Bom Jesus do Itabapoana ;2;552,76;7;2,1761;78,97;1.202.868,00
Cambuci ;161;16.678,00;236,5;3,0438;70,52;50.764.200,00
Cantagalo ;1;43,3;0,75;1,754;57,73;75.950,00
Cardoso Moreira ;2;12,5;0,3;1,4;41,67;17.500,00
Carmo ;9;466,2;9,34;0,8165;49,91;380.674,00
Cordeiro ;12;630;17;2,5635;37,06;1.615.000,00
Duas Barras ;60;1.308,00;26,1;2,1498;50,11;2.811.900,00
Italva ;51;4.405,60;54;1,745;81,59;7.687.851,00
Itaocara ;16;612,5;10,5;2,9766;58,33;1.823.150,00
Itaperuna ;31;2.230,00;35,5;1,2152;62,82;2.709.800,00
Macaé ;1;0,2;0,03;8;6,67;1.600,00
Miguel Pereira ;3;386,27;6,7;1,9141;57,65;739.352,30
Miracema ;4;1.625,41;23,4;2,2066;69,46;3.586.648,00
Natividade ;4;240;4;3,4667;60;832.000,00
Nova Friburgo ;348;18.960,00;276,5;2,0437;68,57;38.747.850,00
Paraíba do Sul ;84;4.822,53;61,89;2,4328;77,92;11.732.179,90
Paty do Alferes ;138;5.269,34;89,8;1,8505;58,68;9.750.695,00
Petrópolis ;31;633;13,9;2,1739;45,54;1.376.080,00
Piraí ;5;135,1;3,12;2,3248;43,3;314.075,00
Porciúncula ;6;328;7;3,9634;46,86;1.300.000,00
Porto Real ;5;147;10;3,3959;14,7;499.200,00
Quatis ;3;202;11;3,7111;18,36;749.650,00
Rio Claro ;1;851,44;15,6;4,1373;54,58;3.522.677,00
Santo Antônio de Pádua ;22;2.486,00;22;2,3609;113;5.869.220,00
São Fidélis ;71;749,33;17,8;1,8242;42,1;1.366.917,70
São José de Ubá ;265;17.850,00;255;1,1176;70;19.950.000,00
São José do Vale do Rio Preto ;318;7.560,00;126;1,3781;60;10.418.400,00
São Sebastião do Alto ;102;7.200,00;119;2,151;60,5;15.487.200,00
Sapucaia ;49;2.940,00;49;1,4429;60;4.242.000,00
Sumidouro ;483;20.230,00;329;2,0547;61,49;41.566.200,00
Tanguá ;1;30,3;3;4,6238;10,1;140.100,00
Teresópolis ;40;997;14,3;1,1996;69,72;1.195.970,00
Trajano de Morais ;87;2.862,50;45,3;2,5417;63,19;7.275.745,00
Valença ;6;922,12;12,85;3,7469;71,76;3.455.068,00
Varre-Sai ;6;131,25;2,9;2,2272;45,26;292.322,50
Vassouras ;66;4.235,00;72,1;2,7551;58,74;11.668.000,00
TOTAL TOMATE ;2.929;144.752,65;2.202,18;1,9484;65,73;282.037.043,40
CULTURA : TOMATE CEREJA;;;;;;
Engenheiro Paulo de Frontin ;1;1;0,02;6;50;6.000,00
Paraíba do Sul ;9;77,03;0,87;6,2794;88,54;483.698,50
Rio das Ostras ;1;0,52;0,01;6,3;52;3.276,00
Teresópolis ;53;897;9,25;3,2045;96,97;2.874.400,00
Vassouras ;10;167,5;2,13;6,6284;78,64;1.110.250,00
TOTAL TOMATE CEREJA ;74;1.143,05;12,28;3,9173;93,08;4.477.624,50
CULTURA : TOMATE - CULT.PROT;;;;;;
Macaé ;1;0,08;0,03;7,5;2,67;600
Paty do Alferes ;31;70,67;3,11;5,5838;22,72;394.610,00
Rio das Ostras ;1;0,71;0,01;10;71;7.100,00
Vassouras ;3;16,4;0,6;3;27,33;49.200,00
TOTAL TOMATE - CULT.PROTG ;36;87,86;3,75;5,139;23,43;451.510,00
CULTURA : VAGEM;;;;;;
Bom Jardim ;231;1.782,00;99;1,1493;18;2.048.040,00
Cachoeiras de Macacu ;11;110;9;1,5345;12,22;168.800,00
Carmo ;3;18,83;1,15;1,9595;16,37;36.897,90
Duas Barras ;60;439,8;26,6;2,2973;16,53;1.010.340,00
Duque de Caxias ;2;50,7;5,75;2,4843;8,82;125.955,00
Itaocara ;3;30;2,5;1,8333;12;55.000,00
Magé ;8;51;4,25;2,7647;12;141.000,00
Nova Friburgo ;67;681,3;35;2,5709;19,47;1.751.560,00
Petrópolis ;39;414;20,6;2,9957;20,1;1.240.200,00
Rio Claro ;2;83,02;4,6;1,952;18,05;162.058,00
Rio de Janeiro ;44;412,92;22,5;2,1239;18,35;876.996,00
São Fidélis ;20;63,73;5,1;1,9488;12,5;124.195,50
São José do Vale do Rio Preto ;411;3.972,00;219;1,4302;18,14;5.680.620,00
Sapucaia ;37;592;37;1,4432;16;854.400,00
Sumidouro ;148;2.603,00;137;1,601;19;4.167.460,00
Teresópolis ;34;51,6;3,3;2,2449;15,64;115.836,00
Trajano de Morais ;32;174,6;9,85;2,8266;17,73;493.530,00
TOTAL VAGEM ;1.152;11.530,50;642,2;1,6524;17,95;19.052.888,40
CULTURA : VAGEM FRANCESA;;;;;;
Teresópolis ;40;395,9;11,7;6,1388;33,84;2.430.360,00
TOTAL VAGEM FRANCESA ;40;395,9;11,7;6,1388;33,84;2.430.360,00
TOTAL Olerícolas Frutos ;17.350;418.380,28;13.548,63;1,3954;30,88;583.801.750,80
GRUPO : Olerícolas Raizes;;;;;;
CULTURA : AIPIM;;;;;;
Angra dos Reis ;30;194;23,5;4,4858;8,26;870.250,00
Aperibé ;10;96;8;1,3;12;124.800,00
Araruama ;82;1.411,50;102,5;1,2887;13,77;1.819.000,00
Areal ;5;88,64;7;1,4609;12,66;129.493,10
Armação dos Búzios ;17;24,5;2,67;1,7531;9,18;42.950,00
Barra do Pirai ;9;63,1;4,78;3,0081;13,2;189.813,50
Bom Jardim ;225;2.034,00;113;0,9725;18;1.978.020,00
Bom Jesus do Itabapoana ;12;63;3,5;1,4111;18;88.900,00
Cabo Frio ;28;134;12,7;1,7799;10,55;238.500,00
Cachoeiras de Macacu ;361;11.970,00;958;0,7698;12,49;9.214.500,00
Campos dos Goytacases ;264;2.415,00;259;0,5784;9,32;1.396.750,00
Carapebus ;10;64;10;1,0477;6,4;67.050,00
Cardoso Moreira ;8;105,4;9,9;0,8995;10,65;94.810,00
Carmo ;6;166,4;13,6;0,9214;12,24;153.320,00
Casimiro de Abreu ;101;2.273,00;124;1,0832;18,33;2.462.100,00
Comendador Levy Gasparian ;3;77,43;6;1,4364;12,91;111.219,80
Conceição de Macabu ;28;102;10,7;1,8855;9,53;192.320,00
Cordeiro ;10;260;17;1,5808;15,29;411.000,00
Duas Barras ;55;683;40,7;1,0592;16,78;723.450,00
Duque de Caxias ;20;4.990,00;299;2,0505;16,69;10.232.000,00
Guapimirim ;63;3.524,00;281;1,404;12,54;4.947.750,00
Iguaba Grande ;21;238;23,2;1,2118;10,26;288.400,00
Itaboraí ;42;329,9;28,1;0,9324;11,74;307.585,00
Itaguaí ;12;460;35;1,5307;13,14;704.100,00
Italva ;35;284;32,1;0,9956;8,85;282.740,00
Itaocara ;17;132;13;1,1031;10,15;145.610,00
Itaperuna ;30;147,9;19,2;1,0241;7,7;151.460,00
Japeri ;253;4.614,00;355,1;1,71;12,99;7.889.870,00
Laje do Muriae ;2;25,5;1,6;1,8784;15,94;47.900,00
Macaé ;30;38;4,7;1,1276;8,09;42.850,00
Magé ;154;4.494,00;284;1,769;15,82;7.949.850,00
Mangaratiba ;44;349;33;1,5521;10,58;541.700,00
Maricá ;20;44,93;3,75;0,7766;11,98;34.894,00
Mendes ;9;74,25;5,25;2,943;14,14;218.516,00
Natividade ;10;98,47;7,49;1,4045;13,15;138.300,00
Niterói ;7;57,4;4;1,5844;14,35;90.944,00
Nova Friburgo ;72;584,2;36,55;1,3356;15,98;780.270,00
Nova Iguaçu ;256;2.319,00;184;1,6558;12,6;3.839.840,00
Paracambi ;20;106,5;10;2,0798;10,65;221.500,00
Paraíba do Sul ;12;37,73;2,86;1,4478;13,19;54.627,30
Paraty ;25;459,6;40;4,4977;11,49;2.067.150,00
Paty do Alferes ;17;101,77;8,2;1,1923;12,41;121.341,90
Petrópolis ;19;193;11,2;1,2702;17,23;245.150,00
Pinheiral ;6;108,45;6,45;1,4314;16,81;155.230,00
Piraí ;5;268,32;17,61;1,3974;15,24;374.952,50
Porto Real ;4;74;10,5;2,2399;7,05;165.750,00
Quatis ;3;32;5,5;2,2016;5,82;70.450,00
Queimados ;104;1.268,00;90,6;1,5204;14;1.927.920,00
Quissamã ;50;3.465,00;318;2,3552;10,9;8.160.750,00
Rio Bonito ;149;4.452,00;310;0,8698;14,36;3.872.400,00
Rio das Ostras ;7;217,6;21,9;1,4929;9,94;324.850,00
Rio de Janeiro ;148;18.600,00;1.315,00;1,0559;14,14;19.639.000,00
Santa Maria Madalena ;9;179,7;11,97;1,4393;15,01;258.634,80
São Francisco de Itabapoana ;525;41.980,00;3.020,00;0,5124;13,9;21.509.200,00
São Gonçalo ;52;755,4;49;1,5201;15,42;1.148.312,00
São João da Barra ;54;748,5;52;0,7018;14,39;525.300,00
São José do Vale do Rio Preto ;46;216;12;0,6204;18;134.010,00
São Pedro da Aldeia ;49;708;68,4;1,2386;10,35;876.900,00
Saquarema ;58;604;57;1,4272;10,6;862.000,00
Seropédica ;90;1.542,00;109;1,585;14,15;2.444.080,00
Silva Jardim ;188;8.070,00;800;0,6404;10,09;5.168.000,00
Sumidouro ;114;3.344,00;209;0,9871;16;3.300.960,00
Tanguá ;79;3.335,00;227,7;1,137;14,65;3.792.000,00
Trajano de Morais ;67;1.310,00;69,1;1,3024;18,96;1.706.100,00
Três Rios ;3;69,67;5,5;1,4871;12,67;103.609,10
Valença ;17;640,25;49,4;2,3307;12,96;1.492.214,00
Varre-Sai ;4;93,6;6,51;1,1994;14,38;112.260,00
TOTAL AIPIM ;4.285;138.009,61;10.290,99;1,0128;13,41;139.777.477,00
CULTURA : BATATA;;;;;;
Nova Friburgo ;19;170,7;9,5;1,4139;17,97;241.357,00
Petrópolis ;5;31;1,1;1,2645;28,18;39.200,00
Trajano de Morais ;20;240;11,6;1,035;20,69;248.400,00
TOTAL BATATA ;44;441,7;22,2;1,1975;19,9;528.957,00
CULTURA : BATATA DOCE;;;;;;
Bom Jardim ;403;3.570,00;255;0,9489;14;3.387.720,00
Cachoeiras de Macacu ;90;1.338,00;116,5;0,9007;11,48;1.205.200,00
Campos dos Goytacases ;28;84;8;0,8315;10,5;69.850,00
Casimiro de Abreu ;4;8,54;0,7;1,9157;12,2;16.360,00
Conceição de Macabu ;3;11,2;1;2;11,2;22.400,00
Duas Barras ;15;132;10,5;0,9511;12,57;125.550,00
Duque de Caxias ;8;613;56;2,5715;10,95;1.576.300,00
Guapimirim ;5;196;20,2;1,4857;9,7;291.200,00
Iguaba Grande ;8;33,6;7,55;3,214;4,45;107.990,00
Macaé ;1;0,66;0,26;4,1818;2,54;2.760,00
Magé ;54;966;80,5;1,5957;12;1.541.400,00
Nova Friburgo ;21;216,31;15,6;1,2965;13,87;280.443,00
Queimados ;4;17,57;1,34;1,6106;13,11;28.298,20
Rio de Janeiro ;29;172;14,4;0,6676;11,94;114.820,00
São João da Barra ;30;424,5;30,25;0,8186;14,03;347.505,00
São Pedro da Aldeia ;9;64,9;12;3,0285;5,41;196.550,00
Trajano de Morais ;74;676;48,8;1,2075;13,85;816.300,00
TOTAL BATATA DOCE ;786;8.524,28;678,6;1,1884;12,56;10.130.646,20
CULTURA : BETERRABA;;;;;;
Barra Mansas ;1;154,65;6,21;2,0488;24,9;316.850,50
Nova Friburgo ;29;344,63;13,95;1,5493;24,7;533.922,50
Petrópolis ;52;294;9,9;1,2696;29,7;373.260,00
Rio Claro ;2;129,56;6,3;0,6273;20,57;81.269,00
Sumidouro ;42;771;48;0,9113;16,06;702.607,50
Teresópolis ;64;632,6;25,4;1,2307;24,91;778.530,00
TOTAL BETERRABA ;190;2.326,44;109,76;1,1977;21,2;2.786.439,50
CULTURA : CARÁ;;;;;;
Magé ;11;208;13;1,8192;16;378.400,00
TOTAL CARÁ ;11;208;13;1,8192;16;378.400,00
CULTURA : CENOURA;;;;;;
Duque de Caxias ;2;15,7;0,83;2,0779;18,92;32.622,50
Nova Friburgo ;19;345,03;13,75;1,7768;25,09;613.037,50
Petrópolis ;74;162;7,05;1,5765;22,98;255.400,00
São José do Vale do Rio Preto ;79;525;21;1,4086;25;739.500,00
Sapucaia ;38;836;38;0,8684;22;726.000,00
Teresópolis ;22;375,69;13,6;1,4225;27,62;534.408,00
TOTAL CENOURA ;234;2.259,42;94,23;1,2839;23,98;2.900.968,00
CULTURA : INHAME;;;;;;
Bom Jardim ;326;5.681,00;247;1,1065;23;6.285.900,00
Cachoeiras de Macacu ;55;566;49,5;1,6106;11,43;911.600,00
Casimiro de Abreu ;47;958;59;1,9965;16,24;1.912.600,00
Conceição de Macabu ;1;5,3;0,3;2;17,67;10.600,00
Duas Barras ;33;346;17,4;2,222;19,89;768.800,00
Duque de Caxias ;4;487;48;2,5795;10,15;1.256.200,00
Guapimirim ;5;149,5;12,1;2,096;12,36;313.350,00
Italva ;2;36;3;1,5386;12;55.390,00
Macaé ;1;0,4;0,3;3,5;1,33;1.400,00
Magé ;22;415;23,5;2,1951;17,66;910.950,00
Natividade ;1;7;0,6;2;11,67;14.000,00
Nova Friburgo ;105;1.129,20;74,3;1,9056;15,2;2.151.750,00
Rio Claro ;2;13,02;0,9;2,1466;14,47;27.949,00
Silva Jardim ;4;65;5;1,1415;13;74.200,00
Sumidouro ;20;440;27,5;1,3336;16;586.800,00
Trajano de Morais ;50;1.024,50;57,8;2,3791;17,72;2.437.350,00
TOTAL INHAME ;678;11.322,92;626,2;1,5649;18,08;17.718.839,00
CULTURA : NABO;;;;;;
Nova Friburgo ;18;225,3;9,1;2,2574;24,76;508.600,00
TOTAL NABO ;18;225,3;9,1;2,2574;24,76;508.600,00
TOTAL Olerícolas Raizes ;6.246;163.317,67;11.844,08;1,0699;13,79;174.730.326,70
GRUPO : Outras Culturas;;;;;;
CULTURA : CANA CACHAÇA;;;;;;
Miracema ;2;566,4;10,1;0,15;56,08;84.960,00
Paraíba do Sul ;7;1.155,00;16,45;0,4575;70,21;528.360,00
Paraty ;6;617,5;13,67;0,5;45,17;308.750,00
Porto Real ;3;120;3,2;0,305;37,5;36.600,00
Quatis ;6;1.175,00;23,15;0,2931;50,76;344.350,00
Resende ;4;639,5;11;0,2255;58,14;144.215,00
Rio das Flores ;4;295;4;0,12;73,75;35.400,00
Valença ;18;7.673,90;130;0,4098;59,03;3.144.669,80
TOTAL CANA CACHAÇA ;50;12.242,30;211,57;0,378;57,86;4.627.304,80
CULTURA : CANA CALDO;;;;;;
Angra dos Reis ;14;590;14,5;0,2398;40,69;141.500,00
Cabo Frio ;6;206;5,2;0,3766;39,62;77.570,00
Campos dos Goytacases ;79;1.950,00;53;0,3727;36,79;726.740,00
Duque de Caxias ;10;1.568,00;51,2;1,5361;30,63;2.408.650,00
Itaguaí ;15;365;30;1,5;12,17;547.500,00
Mangaratiba ;20;375;11;1,1533;34,09;432.500,00
Niterói ;5;168;4,2;1,1126;40;186.920,00
Paraíba do Sul ;4;92,45;2,26;0,437;40,91;40.400,00
Queimados ;6;292;7,32;0,3326;39,89;97.110,00
São Gonçalo ;28;2.520,00;56;0,9864;45;2.485.800,00
São João da Barra ;24;935;18,5;0,239;50,54;223.500,00
Seropédica ;28;2.271,00;102;0,6143;22,26;1.395.100,00
TOTAL CANA CALDO ;239;11.332,45;355,18;0,7733;31,91;8.763.290,00
CULTURA : CANA DE AÇUCAR;;;;;;
Araruama ;1;224.090,00;3.730,00;0,07;60,08;15.686.300,00
Cabo Frio ;1;116.000,00;2.937,00;0,0633;39,5;7.345.000,00
Cambuci ;58;5.400,00;135;0,1;40;540.000,00
Campos dos Goytacases ;1.243;1.350.700,00;30.434,00;0,0712;44,38;96.159.000,00
Cardoso Moreira ;1;7.100,00;150;0,0575;47,33;408.000,00
Italva ;350;15.759,00;350;0,097;45,03;1.528.700,00
Quissamã ;7;36.700,00;590;0,07;62,2;2.569.000,00
São Fidélis ;15;5.411,92;144,2;0,07;37,53;378.834,40
São Francisco de Itabapoana ;570;599.800,00;13.355,00;0,0601;44,91;36.071.000,00
São Pedro da Aldeia ;1;55.030,56;705,52;0,07;78;3.852.139,20
Silva Jardim ;12;4.410,00;102;0,08;43,24;352.800,00
TOTAL CANA DE AÇUCAR ;2.259;2.420.401,48;52.632,72;0,0681;45,99;164.890.773,60
CULTURA : CANA FORRAGEIRA;;;;;;
Barra do Pirai ;51;5.192,00;83,5;0,1534;62,18;796.500,00
Cabo Frio ;5;1.445,00;19;0,2213;76,05;319.750,00
Carapebus ;27;595;32;0,0772;18,59;45.950,00
Cardoso Moreira ;120;513,1;19,9;0,0588;25,78;30.186,00
Carmo ;336;11.160,00;168;0,08;66,43;892.800,00
Duas Barras ;135;4.887,00;81,7;0,1043;59,82;509.940,00
Duque de Caxias ;5;2.040,00;60,5;0,151;33,72;308.000,00
Itaocara ;215;5.155,00;145;0,1152;35,55;594.100,00
Macuco ;22;320;6;0,105;53,33;33.600,00
Miracema ;320;16.827,10;293;0,09;57,43;1.514.439,00
Natividade ;200;12.110,00;200;0,05;60,55;605.500,00
Paraíba do Sul ;12;707,2;8,16;0,4552;86,67;321.912,00
Porciúncula ;230;42.800,00;665;0,1129;64,36;4.830.000,00
Porto Real ;9;310;9,5;0,2898;32,63;89.850,00
Quatis ;17;1.640,00;36;0,228;45,56;374.000,00
Resende ;132;3.773,10;71;0,26;53,14;981.006,00
Rio Claro ;60;1.003,26;22;0,55;45,6;551.793,00
Rio das Flores ;27;920;13,2;0,1;69,7;92.000,00
Santa Maria Madalena ;35;1.926,00;25,68;0,1432;75;275.842,50
São João da Barra ;49;1.685,00;33,5;0,1215;50,3;204.700,00
Valença ;22;2.946,50;48,8;0,2219;60,38;653.819,30
TOTAL CANA FORRAGEIRA ;2.029;117.955,26;2.041,44;0,1189;57,78;14.025.687,80
